feature,importance,std,family
mfcc_11_kurt,0.0,0.0,mfcc
mfcc_12_mean,0.0,0.0,mfcc
mfcc_12_std,0.0,0.0,mfcc
mfcc_12_median,0.0,0.0,mfcc
mfcc_12_iqr,0.0,0.0,mfcc
peak_amplitude,0.0,0.0,other
mfcc_13_std,0.0,0.0,mfcc
spectral_flatness_iqr,0.0,0.0,spectral
mfcc_13_median,0.0,0.0,mfcc
mfcc_13_skew,0.0,0.0,mfcc
mfcc_14_std,0.0,0.0,mfcc
mfcc_14_min,0.0,0.0,mfcc
spectral_flatness_median,0.0,0.0005952380952380931,spectral
mfcc_14_iqr,0.0,0.0,mfcc
mfcc_14_skew,0.0,0.0,mfcc
mfcc_14_kurt,0.0,0.0,mfcc
mfcc_15_mean,0.0,0.0,mfcc
mfcc_15_std,0.0,0.0,mfcc
mfcc_15_min,0.0,0.0,mfcc
mfcc_15_max,0.0,0.0,mfcc
mfcc_15_median,0.0,0.0,mfcc
mfcc_15_iqr,0.0,0.0,mfcc
mfcc_10_max,0.0,0.0,mfcc
mfcc_11_median,0.0,0.0,mfcc
spectral_zcr_max,0.0,0.0,spectral
mfcc_09_skew,0.0,0.0,mfcc
spectral_zcr_min,0.0,0.0,spectral
mfcc_09_min,0.0,0.0,mfcc
spectral_zcr_median,0.0,0.0,spectral
mfcc_08_kurt,0.0,0.0,mfcc
mfcc_08_skew,0.0,0.0,mfcc
mfcc_08_iqr,0.0,0.0,mfcc
mfcc_08_median,0.0,0.0,mfcc
spectral_zcr_skew,0.0,0.0,spectral
spectral_zcr_kurt,0.0,0.0,spectral
mfcc_08_std,0.0,0.0,mfcc
mfcc_08_mean,0.0,0.0,mfcc
mfcc_07_kurt,0.0,0.0,mfcc
mfcc_07_skew,0.0,0.0,mfcc
mfcc_07_iqr,0.0,0.0,mfcc
mfcc_07_median,0.0,0.0,mfcc
spectral_zcr_mean,0.0,0.0,spectral
prosody_cpps,0.0,0.0,prosody
spectral_flatness_kurt,0.0,0.0,spectral
mfcc_11_std,-1.2400793650786668e-05,0.0023609430691668917,mfcc
prosody_f5_median,-4.9603174603188305e-05,0.0007205277304729183,prosody
mfcc_03_iqr,-7.440476190476164e-05,0.0009615214273303601,mfcc
mfcc_d1_17_std,-7.440476190476164e-05,0.0006269456676470483,mfcc
mfcc_13_kurt,-7.440476190476164e-05,0.00046465758916654584,mfcc
spectral_rms_iqr,-0.00013640873015872967,0.0010164869360775348,spectral
mfcc_d2_04_std,-0.00013640873015872967,0.0014116766323044266,mfcc
mfcc_10_median,-0.00014880952380952328,0.001567805617984033,mfcc
mfcc_15_skew,-0.00014880952380952328,0.0009758093042116038,mfcc
spectral_band_1000_2000_mean,-0.0001612103174603169,0.0009630395989758857,spectral
prosody_f0_median,-0.00022321428571428492,0.0005905694890769155,prosody
mfcc_16_max,-0.00022321428571428492,0.0007252079125601882,mfcc
spectral_band_2000_3000_mean,-0.00022321428571428492,0.0002881684037356699,spectral
spectral_slope_iqr,-0.00022321428571428492,0.00041426818175818465,spectral
mfcc_03_mean,-0.00029761904761904656,0.00042089689356341963,mfcc
prosody_f1_mean,-0.00029761904761904656,0.00029761904761904656,prosody
chroma_09_std,-0.00029761904761904656,0.0006654964218749351,chroma
mfcc_16_skew,-0.00029761904761904656,0.00029761904761904656,mfcc
spectral_contrast_5_std,-0.00031001984126984017,0.000299422035407976,spectral
mfcc_d2_19_mean,-0.000347222222222221,0.000694444444444442,mfcc
mfcc_05_std,-0.0003720238095238082,0.0005100933482441235,mfcc
mfcc_09_kurt,-0.0003720238095238082,0.0006613239893835981,mfcc
chroma_01_std,-0.00044642857142856984,0.00025774565588822484,chroma
mfcc_10_iqr,-0.0005208333333333315,0.0001968564963589718,mfcc
prosody_pause_fraction,-0.0005208333333333315,0.0005518004826708063,prosody
spectral_rolloff85_kurt,-0.0005208333333333315,0.0001968564963589718,spectral
mfcc_04_mean,-0.0005208333333333315,0.0023890765413693846,mfcc
mfcc_19_iqr,-0.0005208333333333454,0.0005947211710457307,mfcc
