feature,importance,kind,family
mfcc_d1_10_std,0.0,impurity/gain,mfcc
mfcc_d2_10_mean,0.0,impurity/gain,mfcc
spectral_flatness_kurt,0.0,impurity/gain,spectral
mfcc_d2_14_std,0.0,impurity/gain,mfcc
spectral_flatness_skew,0.0,impurity/gain,spectral
mfcc_d1_11_std,0.0,impurity/gain,mfcc
mfcc_d1_14_mean,0.0,impurity/gain,mfcc
spectral_flatness_std,0.0,impurity/gain,spectral
mfcc_d2_11_mean,0.0,impurity/gain,mfcc
mfcc_d2_11_std,0.0,impurity/gain,mfcc
mfcc_d1_13_std,0.0,impurity/gain,mfcc
mfcc_d1_12_mean,0.0,impurity/gain,mfcc
mfcc_d1_13_mean,0.0,impurity/gain,mfcc
mfcc_d2_12_std,0.0,impurity/gain,mfcc
mfcc_d2_13_std,0.0,impurity/gain,mfcc
spectral_contrast_5_mean,0.0,impurity/gain,spectral
mfcc_d2_17_mean,0.0,impurity/gain,mfcc
prosody_jitter_rap,0.0,impurity/gain,prosody
prosody_jitter_ddp,0.0,impurity/gain,prosody
prosody_shimmer_apq3,0.0,impurity/gain,prosody
prosody_shimmer_apq5,0.0,impurity/gain,prosody
prosody_shimmer_apq11,0.0,impurity/gain,prosody
prosody_shimmer_dda,0.0,impurity/gain,prosody
prosody_hnr_std,0.0,impurity/gain,prosody
prosody_hnr_min,0.0,impurity/gain,prosody
prosody_hnr_max,0.0,impurity/gain,prosody
spectral_rolloff85_mean,0.0,impurity/gain,spectral
prosody_f1_std,0.0,impurity/gain,prosody
prosody_f1_bw_median,0.0,impurity/gain,prosody
prosody_f2_mean,0.0,impurity/gain,prosody
spectral_bandwidth_median,0.0,impurity/gain,spectral
spectral_bandwidth_max,0.0,impurity/gain,spectral
prosody_f3_median,0.0,impurity/gain,prosody
prosody_f3_bw_median,0.0,impurity/gain,prosody
spectral_bandwidth_min,0.0,impurity/gain,spectral
spectral_bandwidth_std,0.0,impurity/gain,spectral
prosody_f5_std,0.0,impurity/gain,prosody
spectral_centroid_max,0.0,impurity/gain,spectral
prosody_intensity_mean,0.0,impurity/gain,prosody
spectral_centroid_min,0.0,impurity/gain,spectral
spectral_centroid_std,0.0,impurity/gain,spectral
prosody_intensity_median,0.0,impurity/gain,prosody
spectral_centroid_mean,0.0,impurity/gain,spectral
prosody_jitter_ppq5,0.0,impurity/gain,prosody
prosody_jitter_local,0.0,impurity/gain,prosody
mfcc_d2_17_std,0.0,impurity/gain,mfcc
spectral_rolloff85_min,0.0,impurity/gain,spectral
mfcc_d1_18_mean,0.0,impurity/gain,mfcc
mfcc_d1_19_std,0.0,impurity/gain,mfcc
chroma_00_std,0.0,impurity/gain,chroma
spectral_rolloff95_skew,0.0,impurity/gain,spectral
chroma_02_std,0.0,impurity/gain,chroma
chroma_04_mean,0.0,impurity/gain,chroma
chroma_04_std,0.0,impurity/gain,chroma
chroma_05_mean,0.0,impurity/gain,chroma
spectral_rolloff95_median,0.0,impurity/gain,spectral
chroma_06_std,0.0,impurity/gain,chroma
chroma_07_mean,0.0,impurity/gain,chroma
chroma_07_std,0.0,impurity/gain,chroma
spectral_rolloff95_min,0.0,impurity/gain,spectral
chroma_10_mean,0.0,impurity/gain,chroma
chroma_11_mean,0.0,impurity/gain,chroma
chroma_11_std,0.0,impurity/gain,chroma
spectral_rolloff95_std,0.0,impurity/gain,spectral
prosody_f0_std,0.0,impurity/gain,prosody
spectral_rolloff95_mean,0.0,impurity/gain,spectral
spectral_rolloff85_iqr,0.0,impurity/gain,spectral
spectral_rolloff85_median,0.0,impurity/gain,spectral
prosody_f0_kurt,0.0,impurity/gain,prosody
prosody_f0_slope_abs_mean,0.0,impurity/gain,prosody
prosody_n_voiced_segments,0.0,impurity/gain,prosody
prosody_mean_voiced_seg_s,0.0,impurity/gain,prosody
mfcc_d1_07_std,0.0,impurity/gain,mfcc
spectral_rms_max,0.0,impurity/gain,spectral
mfcc_d2_06_std,0.0,impurity/gain,mfcc
