model,train_condition,test_condition,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,log_loss,top2_accuracy
knn,mp4_aac64,roundtrip_wav,0.47073170731707314,0.47331349206349205,0.4578880617981917,0.4567279036602318,0.3652933832709113,2.805363788449483,0.7048780487804878
decision_tree,mp4_aac64,ref,0.4067073170731707,0.4079365079365079,0.4066169391256338,0.40627466701644693,0.28817158253483943,9.294920098179785,0.5652439024390243
decision_tree,mp4_aac64,mp3_64,0.4067073170731707,0.40763888888888894,0.40718580644487745,0.4071181020697829,0.28815888083937036,9.69172981187376,0.5689024390243902
decision_tree,mp4_aac64,mp4_aac64,0.4054878048780488,0.4073412698412699,0.4019733412374394,0.4014328952418484,0.28701375140456964,8.756339566890041,0.5707317073170731
decision_tree,mp4_aac64,roundtrip_wav,0.4060975609756098,0.4081349206349207,0.4022085299295306,0.40149546379814666,0.2877450193518468,8.796870636589919,0.5719512195121951
random_forest,mp4_aac64,ref,0.5189024390243903,0.5205357142857143,0.5050372790769204,0.5037622797138105,0.4226073608681683,1.2905988827779626,0.7445121951219512
random_forest,mp4_aac64,mp3_64,0.5201219512195122,0.5213293650793651,0.5080397269032909,0.5071448029170792,0.42404012637666666,1.2988856558699946,0.7426829268292683
random_forest,mp4_aac64,mp4_aac64,0.5213414634146342,0.5237103174603175,0.5060285314890849,0.504935769013795,0.4258932234530245,1.2789796040517405,0.7463414634146341
random_forest,mp4_aac64,roundtrip_wav,0.5219512195121951,0.5245039682539683,0.5064000939934462,0.5051108460601336,0.4266143417766679,1.2794651104818449,0.7463414634146341
extra_trees,mp4_aac64,ref,0.5164634146341464,0.51875,0.49888058314078343,0.497285001651918,0.41983547759675943,1.3072187168576919,0.7347560975609756
extra_trees,mp4_aac64,mp3_64,0.5134146341463415,0.5154761904761905,0.4963273307239797,0.4947667464965965,0.4161045079772995,1.3108158015383984,0.7371951219512195
extra_trees,mp4_aac64,mp4_aac64,0.5182926829268293,0.5205357142857143,0.5002905229588754,0.4992135980445932,0.4222261862290404,1.2995752407612182,0.7384146341463415
extra_trees,mp4_aac64,roundtrip_wav,0.5121951219512195,0.5143849206349206,0.49358031423771836,0.49254460574858827,0.41492303027059807,1.2995678147177099,0.7396341463414634
hist_gradient_boosting,mp4_aac64,ref,0.551219512195122,0.5512896825396826,0.5454902314150445,0.5453625629695296,0.4611717229434136,1.1936632718460563,0.7628048780487805
hist_gradient_boosting,mp4_aac64,mp3_64,0.5493902439024391,0.5484126984126984,0.546758484891304,0.547184687818921,0.45876279451956914,1.1985498767987588,0.7591463414634146
hist_gradient_boosting,mp4_aac64,mp4_aac64,0.550609756097561,0.5512896825396826,0.5446400684406266,0.5446027784332605,0.4606899998215209,1.1933925465191413,0.7713414634146342
hist_gradient_boosting,mp4_aac64,roundtrip_wav,0.5567073170731708,0.5572420634920635,0.5508139752541036,0.5507145546612554,0.4679316684814624,1.1910999246537444,0.776829268292683
adaboost,mp4_aac64,ref,0.5115853658536585,0.510813492063492,0.5061514229046186,0.5066865667238584,0.41350120546477376,1.777134993974998,0.749390243902439
adaboost,mp4_aac64,mp3_64,0.5091463414634146,0.508234126984127,0.5039363112851428,0.5042444079548759,0.4104144337263309,1.7770466061602954,0.749390243902439
adaboost,mp4_aac64,mp4_aac64,0.5018292682926829,0.5026785714285714,0.49359944336940464,0.4936978793695747,0.4023408924652524,1.7769048135540821,0.748780487804878
adaboost,mp4_aac64,roundtrip_wav,0.5067073170731707,0.5075396825396825,0.4986185219032853,0.4987009713341436,0.40817200463912917,1.7768842905944506,0.749390243902439
svm_rbf,mp4_aac64,ref,0.573780487804878,0.5731150793650793,0.5681444218933872,0.567926175817294,0.4879944259834924,1.123157464797861,0.776829268292683
svm_rbf,mp4_aac64,mp3_64,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,1.9326477171798078,0.34146341463414637
svm_rbf,mp4_aac64,mp4_aac64,0.5713414634146341,0.5718253968253969,0.5653496352371712,0.5647676356513154,0.48532195278740053,1.115472179103609,0.7859756097560976
svm_rbf,mp4_aac64,roundtrip_wav,0.572560975609756,0.5730158730158731,0.5666271303671268,0.5660164099695769,0.4867678571428571,1.1157685745427701,0.7847560975609756
linear_svm,mp4_aac64,ref,0.5804878048780487,0.5799603174603175,0.5760711262979076,0.5758807148504735,0.49609675056717684,,
linear_svm,mp4_aac64,mp3_64,0.3018292682926829,0.29464285714285715,0.1980970408379512,0.20292867598034028,0.15808823529411764,,
linear_svm,mp4_aac64,mp4_aac64,0.573170731707317,0.5746031746031747,0.5680427887503645,0.5670086673279765,0.4876646792102537,,
linear_svm,mp4_aac64,roundtrip_wav,0.5719512195121951,0.5736111111111111,0.5674687666399515,0.5664043192138257,0.48625589033271455,,
