condition,model,note,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,per_class_f1,log_loss,top2_accuracy
mp4_aac64,logistic_regression,"linear, inspectable coefficients",0.5689024390243902,0.5704365079365078,0.5649591155296169,0.5637595472707925,0.48251361242524327,"{'ANG': 0.7308970099667774, 'DIS': 0.4393305439330544, 'FEA': 0.523972602739726, 'HAP': 0.534965034965035, 'NEU': 0.6141414141414141, 'SAD': 0.546448087431694}",1.4063951035145592,0.7798780487804878
mp4_aac64,lda,linear with covariance shrinkage,0.5774390243902439,0.5787698412698413,0.5727999728409628,0.5721749673773183,0.4928785607196402,"{'ANG': 0.7491638795986622, 'DIS': 0.4365904365904366, 'FEA': 0.5286195286195287, 'HAP': 0.5495327102803739, 'NEU': 0.5984251968503937, 'SAD': 0.574468085106383}",1.2845724708675506,0.7908536585365854
mp4_aac64,svm_rbf,kernel machine,0.5713414634146341,0.5718253968253969,0.5653496352371712,0.5647676356513154,0.48532195278740053,"{'ANG': 0.7416798732171157, 'DIS': 0.4331983805668016, 'FEA': 0.5286195286195287, 'HAP': 0.525911708253359, 'NEU': 0.5892116182572614, 'SAD': 0.5734767025089605}",1.115472179103609,0.7859756097560976
mp4_aac64,mlp_sklearn,shallow network,0.5676829268292682,0.5693452380952381,0.5650024046330591,0.563885915889627,0.48110529979829,"{'ANG': 0.7288428324697754, 'DIS': 0.4259634888438134, 'FEA': 0.5365853658536586, 'HAP': 0.5377532228360957, 'NEU': 0.6107784431137725, 'SAD': 0.5500910746812386}",1.5496081297862225,0.7737804878048781
roundtrip_wav,decision_tree_entropy,readable model; Shannon-entropy splitting,0.36829268292682926,0.36904761904761907,0.36606371866673276,0.36610609288515134,0.24213606437454283,"{'ANG': 0.5673758865248227, 'DIS': 0.2681992337164751, 'FEA': 0.30127041742286753, 'HAP': 0.26788990825688075, 'NEU': 0.36432637571157495, 'SAD': 0.4273204903677758}",11.330688330266838,0.5719512195121951
roundtrip_wav,decision_tree_readable,depth-3 tree printed in the paper,0.38170731707317074,0.38898809523809524,0.3093781808353551,0.30728473205479495,0.2622837370242215,"{'ANG': 0.6130030959752322, 'DIS': 0.0, 'FEA': 0.0, 'HAP': 0.29821717990275526, 'NEU': 0.39520958083832336, 'SAD': 0.5498392282958199}",1.507823010287647,0.6097560975609756
roundtrip_wav,random_forest,ensemble of entropy trees,0.5207317073170732,0.5231150793650793,0.504093815950529,0.5030279549335405,0.4251926369863013,"{'ANG': 0.6747720364741642, 'DIS': 0.3553530751708428, 'FEA': 0.39285714285714285, 'HAP': 0.46153846153846156, 'NEU': 0.5477941176470589, 'SAD': 0.5922480620155038}",1.2753135272684295,0.7445121951219512
roundtrip_wav,lightgbm,boosted ensemble,0.5829268292682926,0.5846230158730159,0.5767325178594683,0.5760428321021048,0.49956280447545454,"{'ANG': 0.732484076433121, 'DIS': 0.45564516129032256, 'FEA': 0.5421903052064632, 'HAP': 0.530938123752495, 'NEU': 0.605009633911368, 'SAD': 0.5941278065630398}",1.873286179693951,0.800609756097561
roundtrip_wav,logistic_regression,"linear, inspectable coefficients",0.5658536585365853,0.5673611111111111,0.561866911809163,0.5607503517252034,0.47887248513844016,"{'ANG': 0.7357859531772575, 'DIS': 0.42916666666666664, 'FEA': 0.5227655986509275, 'HAP': 0.532399299474606, 'NEU': 0.607645875251509, 'SAD': 0.5434380776340111}",1.4007390466419083,0.7804878048780488
roundtrip_wav,lda,linear with covariance shrinkage,0.5829268292682926,0.5843253968253969,0.5786303942260861,0.5778970952517488,0.4994466854674615,"{'ANG': 0.7504187604690117, 'DIS': 0.44490644490644493, 'FEA': 0.5279187817258884, 'HAP': 0.5541284403669725, 'NEU': 0.6086956521739131, 'SAD': 0.5857142857142857}",1.2841890244218985,0.7939024390243903
roundtrip_wav,svm_rbf,kernel machine,0.5713414634146341,0.5720238095238096,0.5651747616027168,0.5644162608631376,0.48533114297448354,"{'ANG': 0.7436708860759493, 'DIS': 0.41767068273092367, 'FEA': 0.5292096219931272, 'HAP': 0.5287356321839081, 'NEU': 0.5962732919254659, 'SAD': 0.5754884547069272}",1.116260476694593,0.7908536585365854
roundtrip_wav,mlp_sklearn,shallow network,0.5585365853658537,0.5577380952380953,0.5565954449731639,0.556170165810056,0.46954019907432243,"{'ANG': 0.7138047138047138, 'DIS': 0.4521072796934866, 'FEA': 0.529886914378029, 'HAP': 0.5204460966542751, 'NEU': 0.5740318906605922, 'SAD': 0.5492957746478874}",1.4353363643835062,0.7780487804878049
