pair,rho_used,p_used,rho_all,n_used,top25_overlap
seed,0.9561959860164589,1.0626817579861253e-124,0.9407692041281053,232,24
seed,0.9275300811335004,2.7941563373633525e-100,0.9370488252370002,232,24
seed,0.9565798418101168,2.2437338869596386e-121,0.9592823798956651,225,23
seed,0.9626147837104033,1.3015047526579649e-129,0.9536022208524677,227,23
seed,0.9641603677625289,3.252274606475145e-132,0.9519445288085745,228,24
seed,0.9588277675371367,5.445441837134378e-125,0.9511639845572957,227,23
seed,0.9500698947576022,2.6520431048853184e-117,0.9429192021828346,230,23
seed,0.9430104766659967,5.651723374440169e-110,0.9401075300553569,228,23
seed,0.9869827690793268,2.325849122294126e-181,0.9624917404797066,228,23
seed,0.9345788032011138,1.6352618362613125e-102,0.9370753493087438,226,23
seed,0.9496304307421111,2.195785848836119e-117,0.9455473601489062,231,24
seed,0.9566933778518364,1.0125765910094106e-124,0.9455610122508442,231,25
seed,0.981105690525524,2.3205291835947377e-165,0.959666435755853,231,25
seed,0.9358838156259089,3.4795049550514864e-106,0.9339204131319467,232,24
seed,0.9637460541735231,5.850161996117356e-134,0.9493520364085578,232,24
seed,0.9454629378779402,1.388029793362452e-111,0.9469076034236914,227,22
seed,0.9665536501517383,6.479135334753739e-138,0.9498263807501285,232,24
seed,0.9413191981065873,1.798128032879267e-110,0.9433282332165457,232,24
seed,0.9389990889881277,3.956177005318046e-108,0.939043835865606,231,24
seed,0.9609835427013339,8.410477196682074e-130,0.9533364648382665,231,24
seed,0.948016460591585,7.3443892862619525e-115,0.945512215989195,229,23
seed,0.9485260055720863,7.811992057180728e-116,0.9468058625376174,230,25
seed,0.9370825671549019,2.8921774868590874e-105,0.9444550710653444,228,24
seed,0.9521309287886961,6.932835940008762e-121,0.9430634246580847,233,24
seed,0.9463428940682717,2.3406541420105927e-112,0.946071361665607,227,22
seed,0.9283066597816929,1.1660297416969095e-101,0.9271843035162793,234,24
seed,0.9557454474632388,1.144129755060338e-123,0.9514211799377685,231,24
seed,0.9509357209336738,1.2896023953413373e-116,0.950536064120935,227,22
seed,0.9406576848902571,6.280188449152766e-110,0.9358778714820366,232,25
seed,0.9621245445322193,7.410185689118653e-128,0.9542552445055336,225,23
seed,0.9337108994614991,3.9629185987334734e-104,0.9331224112822255,231,23
bootstrap,-0.14193053600485844,0.01419737972608375,0.20768375840743164,298,7
bootstrap,-0.24647576642934255,1.0270490455560682e-05,0.07664556066322258,313,9
bootstrap,-0.08476064268610231,0.1384106070568122,0.2207358590861933,307,8
bootstrap,-0.2559247110108171,3.401332910623344e-06,0.061535328398611346,321,9
bootstrap,-0.18602663286754825,0.0010374918498634023,0.16311251753270337,308,9
bootstrap,-0.21063255184671972,0.00020627484301625614,0.14043383687045943,306,8
bootstrap,-0.18997464238445197,0.0008375843497214525,0.15776807590657274,306,9
bootstrap,-0.24268005567526602,1.5580458806095065e-05,0.0891688456850059,310,12
bootstrap,-0.22167553474005547,8.963253662528688e-05,0.1188613270585414,307,7
bootstrap,-0.16970813302052104,0.0027638994911016864,0.15138109462976515,309,11
bootstrap,-0.16858528819252142,0.00319416162325335,0.17453206032292207,304,10
bootstrap,-0.2412383328625069,1.701519304323566e-05,0.08357277050601016,311,7
bootstrap,-0.1242618368873557,0.028705901676175614,0.1811124186840203,310,7
bootstrap,-0.1816387267135055,0.0015531384722001654,0.16137570517655078,301,10
bootstrap,-0.21595328497372693,0.00014415904633031164,0.15003209725716166,305,5
bootstrap,-0.23301432273563188,2.7879130879805056e-05,0.078868949692976,317,9
bootstrap,-0.1359632717312253,0.017142832022405914,0.19483868620162795,307,8
bootstrap,-0.17989128631916243,0.0016960752401496383,0.17146377819987144,302,7
bootstrap,-0.11318045423559148,0.047916653282720094,0.2016383516933286,306,13
bootstrap,-0.21939534849515185,0.00012113979399641326,0.14054738647191622,302,8
bootstrap,-0.19622444780314477,0.0005221713759417244,0.14778958175812096,309,7
bootstrap,-0.13903146616293027,0.013976116410645337,0.16595181128170375,312,9
bootstrap,-0.162199565403306,0.004382052493832476,0.17691583034362526,307,7
bootstrap,-0.22967534320910843,4.094480744704974e-05,0.08931134320623837,313,5
bootstrap,-0.23487153078948528,3.0404365189249963e-05,0.10908957451010484,309,8
bootstrap,-0.2146667276602603,0.00013962857638294553,0.10246475790380333,310,9
bootstrap,-0.2583313879031779,5.03562944285606e-06,0.10486072179757375,304,7
bootstrap,-0.18169936315096452,0.0012898430990922155,0.1373956472418957,311,8
bootstrap,-0.13600829100418274,0.017850067845198384,0.1956572679894784,303,8
