feature,importance,kind,family
mfcc_11_mean,0.0019426127767320368,impurity/gain,mfcc
chroma_07_std,0.001940455528300568,impurity/gain,chroma
spectral_entropy_skew,0.0019375154913821584,impurity/gain,spectral
mfcc_06_iqr,0.0019335711406757155,impurity/gain,mfcc
chroma_10_mean,0.0019317974308017021,impurity/gain,chroma
mfcc_08_max,0.0019316254690195207,impurity/gain,mfcc
spectral_contrast_4_std,0.0019268502914398537,impurity/gain,spectral
mfcc_14_max,0.0019125761036535528,impurity/gain,mfcc
mfcc_11_skew,0.0018964593803637705,impurity/gain,mfcc
mfcc_10_skew,0.0018944449992639376,impurity/gain,mfcc
prosody_f5_std,0.0018944292236214562,impurity/gain,prosody
mfcc_05_median,0.0018931208722488687,impurity/gain,mfcc
mfcc_d2_03_mean,0.001891068000805524,impurity/gain,mfcc
spectral_band_4000_5000_mean,0.0018905354014518384,impurity/gain,spectral
mfcc_08_mean,0.0018904055845429416,impurity/gain,mfcc
mfcc_d2_16_std,0.0018873873142638102,impurity/gain,mfcc
mfcc_d1_13_std,0.0018845929872640713,impurity/gain,mfcc
mfcc_d2_15_std,0.0018797562292218787,impurity/gain,mfcc
mfcc_d1_01_mean,0.0018771393494097174,impurity/gain,mfcc
mfcc_d1_10_std,0.0018762013108029481,impurity/gain,mfcc
mfcc_00_skew,0.0018754551778343003,impurity/gain,mfcc
spectral_entropy_max,0.001870951806333907,impurity/gain,spectral
spectral_contrast_0_std,0.0018707910718754486,impurity/gain,spectral
mfcc_d2_00_mean,0.0018668700561124778,impurity/gain,mfcc
mfcc_15_max,0.0018653670740600321,impurity/gain,mfcc
spectral_contrast_6_mean,0.0018650520047760147,impurity/gain,spectral
mfcc_12_std,0.001862741367279331,impurity/gain,mfcc
prosody_f5_mean,0.0018617135794139132,impurity/gain,prosody
mfcc_02_max,0.0018614596834000973,impurity/gain,mfcc
mfcc_13_median,0.0018518223604627444,impurity/gain,mfcc
spectral_slope_iqr,0.0018473691480996013,impurity/gain,spectral
mfcc_03_mean,0.0018447150404449298,impurity/gain,mfcc
mfcc_09_min,0.0018438264271700732,impurity/gain,mfcc
mfcc_d1_16_std,0.001841941722853346,impurity/gain,mfcc
prosody_f2_std,0.0018392758372250512,impurity/gain,prosody
mfcc_04_kurt,0.0018364488914576057,impurity/gain,mfcc
mfcc_08_min,0.0018351857808073383,impurity/gain,mfcc
spectral_centroid_min,0.001835105847356051,impurity/gain,spectral
spectral_entropy_min,0.0018347600437223451,impurity/gain,spectral
mfcc_09_std,0.001834543352498085,impurity/gain,mfcc
mfcc_d2_19_mean,0.0018339435290008932,impurity/gain,mfcc
mfcc_d1_00_mean,0.0018282067216140925,impurity/gain,mfcc
mfcc_13_max,0.001827213562621662,impurity/gain,mfcc
mfcc_01_max,0.0018244356325190776,impurity/gain,mfcc
mfcc_14_iqr,0.0018236625014867206,impurity/gain,mfcc
mfcc_18_max,0.0018231015255041542,impurity/gain,mfcc
mfcc_06_median,0.0018178333419151308,impurity/gain,mfcc
mfcc_d2_13_std,0.0018172122894785428,impurity/gain,mfcc
mfcc_08_skew,0.0018153820280159846,impurity/gain,mfcc
prosody_jitter_rap,0.001814835753805884,impurity/gain,prosody
mfcc_19_mean,0.001812943023341262,impurity/gain,mfcc
mfcc_08_median,0.0018124209952388674,impurity/gain,mfcc
prosody_f4_std,0.001809711073652951,impurity/gain,prosody
mfcc_12_median,0.001808919101676345,impurity/gain,mfcc
spectral_flatness_max,0.001805064296620235,impurity/gain,spectral
mfcc_12_min,0.0018040813474533683,impurity/gain,mfcc
mfcc_04_skew,0.001803436064029978,impurity/gain,mfcc
spectral_zcr_mean,0.0018023915980477782,impurity/gain,spectral
mfcc_19_min,0.0018017245142327915,impurity/gain,mfcc
mfcc_d2_17_std,0.001801578037620446,impurity/gain,mfcc
mfcc_19_skew,0.0017985202418624808,impurity/gain,mfcc
spectral_rolloff85_mean,0.0017973941603934241,impurity/gain,spectral
mfcc_01_iqr,0.001797284413946072,impurity/gain,mfcc
mfcc_d1_06_mean,0.0017946489950903047,impurity/gain,mfcc
mfcc_07_median,0.0017941534093900127,impurity/gain,mfcc
spectral_flux_max,0.0017937200470277625,impurity/gain,spectral
mfcc_05_skew,0.0017921189001834947,impurity/gain,mfcc
prosody_shimmer_apq3,0.0017915500717268662,impurity/gain,prosody
mfcc_06_mean,0.0017909934409483812,impurity/gain,mfcc
mfcc_18_mean,0.0017865641732665017,impurity/gain,mfcc
mfcc_d2_11_std,0.001785618417026323,impurity/gain,mfcc
mfcc_13_min,0.0017853477684103703,impurity/gain,mfcc
prosody_jitter_ddp,0.0017852988929168098,impurity/gain,prosody
mfcc_11_median,0.0017852195007873946,impurity/gain,mfcc
spectral_flatness_min,0.0017810973555691069,impurity/gain,spectral
mfcc_16_mean,0.001778978154613775,impurity/gain,mfcc
mfcc_19_iqr,0.0017778921863379734,impurity/gain,mfcc
mfcc_10_max,0.001777455537538838,impurity/gain,mfcc
prosody_f1_mean,0.0017771437659154159,impurity/gain,prosody
mfcc_16_max,0.0017761532166773305,impurity/gain,mfcc
prosody_n_voiced_segments,0.0017724284675195063,impurity/gain,prosody
mfcc_d1_12_mean,0.0017717494623137842,impurity/gain,mfcc
mfcc_02_kurt,0.0017713403575223578,impurity/gain,mfcc
chroma_03_std,0.0017706620815360577,impurity/gain,chroma
mfcc_13_std,0.0017668243867120634,impurity/gain,mfcc
mfcc_d2_02_mean,0.0017643491481707293,impurity/gain,mfcc
chroma_11_mean,0.0017642966221917177,impurity/gain,chroma
prosody_shimmer_localdb,0.0017621430303137698,impurity/gain,prosody
mfcc_d1_10_mean,0.0017586843739216351,impurity/gain,mfcc
mfcc_19_kurt,0.0017579964715274446,impurity/gain,mfcc
mfcc_16_kurt,0.0017569124592790853,impurity/gain,mfcc
mfcc_13_mean,0.0017555262468332037,impurity/gain,mfcc
prosody_f3_median,0.0017553072024348005,impurity/gain,prosody
mfcc_d2_06_mean,0.0017517526897364059,impurity/gain,mfcc
mfcc_d2_18_std,0.0017505516225631997,impurity/gain,mfcc
mfcc_d1_03_mean,0.0017467365876915424,impurity/gain,mfcc
mfcc_16_skew,0.001743381374484548,impurity/gain,mfcc
mfcc_15_iqr,0.001742224515346068,impurity/gain,mfcc
mfcc_10_iqr,0.0017401474440542687,impurity/gain,mfcc
mfcc_d2_05_mean,0.0017392643542580761,impurity/gain,mfcc
prosody_jitter_ppq5,0.0017389915932754293,impurity/gain,prosody
mfcc_14_skew,0.0017374322845879432,impurity/gain,mfcc
mfcc_14_mean,0.0017350030708016687,impurity/gain,mfcc
spectral_contrast_4_mean,0.0017322995596026263,impurity/gain,spectral
mfcc_01_median,0.0017315955144031885,impurity/gain,mfcc
spectral_bandwidth_min,0.0017288453165882956,impurity/gain,spectral
mfcc_d1_13_mean,0.0017283996143207573,impurity/gain,mfcc
mfcc_18_median,0.0017245284458114044,impurity/gain,mfcc
prosody_shimmer_apq5,0.0017220455329743042,impurity/gain,prosody
mfcc_15_min,0.0017206968801451832,impurity/gain,mfcc
mfcc_d2_07_mean,0.0017198435514768084,impurity/gain,mfcc
mfcc_19_median,0.0017174131616740011,impurity/gain,mfcc
mfcc_05_kurt,0.0017132431248689474,impurity/gain,mfcc
mfcc_d1_14_mean,0.001710659638023036,impurity/gain,mfcc
mfcc_12_iqr,0.0017105938226425518,impurity/gain,mfcc
chroma_02_mean,0.0017105204506797965,impurity/gain,chroma
mfcc_d1_07_mean,0.0017096965607876775,impurity/gain,mfcc
mfcc_d2_08_mean,0.0017069642431256041,impurity/gain,mfcc
mfcc_18_kurt,0.0017044341432596556,impurity/gain,mfcc
mfcc_17_max,0.001703864445813592,impurity/gain,mfcc
mfcc_09_iqr,0.0017033900120084222,impurity/gain,mfcc
prosody_f4_mean,0.0017017416028533756,impurity/gain,prosody
mfcc_d2_15_mean,0.0017006598796416624,impurity/gain,mfcc
prosody_intensity_max,0.0016989209967592108,impurity/gain,prosody
mfcc_07_max,0.001696305507057555,impurity/gain,mfcc
mfcc_18_min,0.0016946279930482393,impurity/gain,mfcc
chroma_01_mean,0.0016944688833491353,impurity/gain,chroma
mfcc_d1_11_mean,0.0016909324289825015,impurity/gain,mfcc
mfcc_d1_17_mean,0.0016894845007250458,impurity/gain,mfcc
mfcc_17_mean,0.0016893063159076523,impurity/gain,mfcc
prosody_f5_median,0.0016875123461980981,impurity/gain,prosody
