condition,path,depth,feature,family,threshold,entropy_bits,information_gain_bits,n_samples,w_samples
mp4_aac64,RR,2,prosody_intensity_std,prosody,11.249629497528076,1.6245243813132706,0.08842523866280372,956,935.7797566582233
mp4_aac64,RRL,3,spectral_contrast_2_mean,spectral,12.276456832885742,1.8881937873351233,0.10743777471024396,461,452.8877796862334
mp4_aac64,RRLL,4,mfcc_05_median,mfcc,3.1128475666046143,2.105111018296119,0.16817216073223684,126,125.24478006959887
mp4_aac64,RRLLL,5,mfcc_13_median,mfcc,-0.07718700170516968,1.774669242868528,0.24789308858810843,65,63.90857288569491
mp4_aac64,RRLLR,5,mfcc_05_min,mfcc,-19.51127815246582,2.106013861937685,0.26067917323196244,61,61.33620718390426
mp4_aac64,RRLR,4,spectral_band_0_500_std,spectral,0.2993113547563553,1.6567681007900434,0.10374277585186809,335,327.6429996166348
mp4_aac64,RRLRL,5,chroma_03_std,chroma,0.2916247546672821,2.113170399153945,0.23192804553153357,74,73.02667896925055
mp4_aac64,RRLRR,5,mfcc_12_max,mfcc,19.84815216064453,1.3923697377120439,0.09961269761775819,261,254.6163206473846
mp4_aac64,RRR,3,mfcc_03_max,mfcc,38.009164810180664,1.2058816831049177,0.08513326611146388,495,482.8919769719659
mp4_aac64,RRRL,4,prosody_f4_median,prosody,3950.6527099609375,1.5464047091658528,0.18405448651615403,122,119.01551312649146
mp4_aac64,RRRLL,5,spectral_rolloff95_skew,spectral,1.605490505695343,1.5491981909790677,0.19973597852509317,70,68.28758949880672
mp4_aac64,RRRLR,5,mfcc_17_kurt,mfcc,0.8724913001060486,1.1108241114370796,0.17074712313889823,52,50.727923627684994
mp4_aac64,RRRR,4,spectral_band_3000_4000_mean,spectral,0.014262580778449774,0.9815261614701298,0.07517099034527441,373,363.8764638454748
mp4_aac64,RRRRL,5,spectral_band_500_1000_mean,spectral,0.19805271923542023,1.170647844612598,0.10048898486102875,177,172.67004773269647
mp4_aac64,RRRRR,5,prosody_hnr_mean,prosody,8.271876811981201,0.6676841606310768,0.11849070060666178,196,191.20641611277867
roundtrip_wav,(root),0,prosody_intensity_std,prosody,8.324055671691895,2.5849625007211694,0.30639926933401007,4905,4905.0
roundtrip_wav,L,1,mfcc_00_iqr,mfcc,60.5802001953125,2.3887198672421923,0.14083300126173204,3075,3109.0894173979923
roundtrip_wav,LL,2,spectral_band_500_1000_mean,spectral,0.07824020832777023,1.9818943248789573,0.08815864471811574,1181,1175.7041182700675
roundtrip_wav,LLL,3,prosody_f0_mean,prosody,170.68736267089844,1.458170485433521,0.09015043604736828,381,372.9461651980832
roundtrip_wav,LLLL,4,mfcc_02_min,mfcc,-4.272033929824829,1.33931047804755,0.09346463071972833,239,233.84548531587143
roundtrip_wav,LLLLL,5,prosody_f3_std,prosody,382.19256591796875,1.450599408715362,0.15116045241024778,129,125.9340168176489
roundtrip_wav,LLLLR,5,spectral_rms_skew,spectral,1.7098122835159302,1.0068959117732357,0.1685557701161574,110,107.91146849822155
roundtrip_wav,LLLR,4,spectral_flatness_median,spectral,0.007491767173632979,1.4162843975444013,0.11843821372878327,142,139.10067988221317
roundtrip_wav,LLLRL,5,mfcc_12_max,mfcc,9.03226900100708,1.1367348740492997,0.13246636731363892,99,96.96538711622425
roundtrip_wav,LLR,3,prosody_f3_bw_median,prosody,712.5267028808594,2.096091033285264,0.07270419110560689,800,802.75795307198
roundtrip_wav,LLRL,4,prosody_f0_mean,prosody,199.27481079101562,2.1896968490100672,0.11433506631506246,505,511.61816955343744
roundtrip_wav,LLRLL,5,mfcc_03_skew,mfcc,-0.7199343740940094,2.07564991337049,0.09743455316015703,410,417.743630264141
roundtrip_wav,LLRLR,5,mfcc_05_mean,mfcc,1.4158424735069275,2.0740795952639943,0.26806830792135705,95,93.87453928929685
roundtrip_wav,LLRR,4,spectral_contrast_1_mean,spectral,7.759608030319214,1.7311312794232656,0.09400941384308348,295,291.13978351853757
roundtrip_wav,LLRRL,5,mfcc_10_std,mfcc,4.302279472351074,1.941731979435263,0.14859213170577457,149,147.75672393663177
roundtrip_wav,LLRRR,5,mfcc_16_median,mfcc,-2.14514696598053,1.323220121312544,0.13481523414811702,146,143.3830595819056
roundtrip_wav,LR,2,prosody_f0_mean,prosody,219.0372085571289,2.4096386524160542,0.09570184060821649,1894,1933.3852991278832
