,shift_sd
spectral_rolloff95_skew,0.01512603813899392
prosody_f2_median,0.014989300576680796
mfcc_08_kurt,0.014944800311768586
mfcc_16_skew,0.014874411991967536
mfcc_d2_02_mean,0.014488649729211532
mfcc_d2_18_std,0.01447100124621114
spectral_rolloff85_kurt,0.014311547344005244
mfcc_d1_12_mean,0.014309662456598362
prosody_f2_mean,0.014235543741347683
mfcc_d2_09_std,0.014228724964424315
mfcc_05_iqr,0.014214615029843166
spectral_rolloff85_skew,0.014193844632671053
mfcc_19_iqr,0.014049601434860542
spectral_bandwidth_iqr,0.014008173747740375
mfcc_d1_11_mean,0.013866405144444208
mfcc_04_skew,0.013787597636339884
mfcc_13_iqr,0.013716235989949107
mfcc_05_std,0.013698649286313789
spectral_band_3000_4000_mean,0.013646284105702382
mfcc_15_iqr,0.013543251046802507
mfcc_d1_02_mean,0.013383904027360555
spectral_entropy_skew,0.013033602704487893
mfcc_18_iqr,0.013017945141960894
mfcc_d1_17_mean,0.012864834403623081
prosody_f4_std,0.012808799471551082
spectral_zcr_iqr,0.012793625627548034
prosody_shimmer_apq11,0.012787664201979613
mfcc_02_std,0.01218086001425982
mfcc_12_kurt,0.01214077809323445
mfcc_d2_03_std,0.011933924309697804
chroma_10_std,0.011771944818441024
spectral_band_3000_4000_std,0.011771271190132538
spectral_rolloff85_mean,0.01175977370872255
mfcc_07_kurt,0.011713389626533365
mfcc_d1_07_std,0.011583088356554673
mfcc_d1_14_mean,0.011486007529584038
mfcc_d1_10_mean,0.011465328830495974
mfcc_01_skew,0.0113620463449202
mfcc_d1_09_mean,0.011347035753735761
mfcc_d1_13_mean,0.011217461175483287
mfcc_13_std,0.011067167710213448
mfcc_d1_12_std,0.011034516597204449
mfcc_01_std,0.011003730632707619
prosody_f3_std,0.010978304891372954
spectral_zcr_median,0.01096244131529094
mfcc_01_iqr,0.010909366049540724
mfcc_00_kurt,0.010883916788165497
mfcc_d2_05_std,0.010848105445582326
prosody_f4_median,0.010795443838639378
mfcc_d2_17_std,0.010743603478312278
spectral_rolloff95_kurt,0.010701052979411232
mfcc_d1_08_mean,0.010473294835348116
prosody_f3_median,0.010126453127339476
mfcc_d2_04_std,0.009943985178577235
mfcc_01_kurt,0.009835795060394868
prosody_jitter_local,0.009806459943297124
spectral_contrast_1_std,0.009660165017997137
prosody_f1_bw_median,0.009266868889286375
prosody_f1_std,0.009188103819769625
mfcc_03_skew,0.009024138088329062
prosody_jitter_ddp,0.00891908297564588
prosody_jitter_rap,0.008919082975645878
mfcc_d1_00_std,0.008346746652966898
mfcc_18_std,0.008178762483286564
mfcc_18_kurt,0.007889360227848289
prosody_f0_kurt,0.007864604059916762
mfcc_d1_06_mean,0.007606170838438495
mfcc_15_std,0.007477938354508558
chroma_11_std,0.0074689393106733195
spectral_entropy_median,0.007433123923053437
mfcc_d1_18_std,0.007329889276062286
prosody_f3_bw_median,0.007159082372317014
mfcc_04_iqr,0.007151582224467171
mfcc_d1_05_std,0.00709707274931304
prosody_f1_mean,0.007079363925158594
chroma_11_mean,0.006685222800508149
spectral_band_2000_3000_mean,0.006672889652896843
mfcc_d1_16_std,0.0065043386593944515
mfcc_17_iqr,0.006370654101996934
mfcc_02_skew,0.0061123426537243826
spectral_centroid_median,0.006057364244984381
prosody_voiced_rate_per_s,0.006017314892367266
mfcc_d1_19_mean,0.005975486723588161
prosody_f0_std,0.005967945447528576
spectral_zcr_mean,0.005933541276155025
prosody_hnr_median,0.005776222349189915
spectral_band_2000_3000_std,0.005744838403418131
mfcc_d1_11_std,0.005705189271444844
spectral_entropy_iqr,0.005695849798687571
prosody_n_voiced_segments,0.00566703377570089
spectral_band_0_500_std,0.0054629846143515294
chroma_08_mean,0.005425735119734478
mfcc_06_skew,0.005366580594860236
mfcc_d2_19_std,0.005347069337391428
chroma_07_mean,0.005330402514353079
mfcc_d1_14_std,0.005231870020527635
chroma_02_mean,0.005227050081439955
spectral_zcr_std,0.005167187687164119
spectral_bandwidth_kurt,0.005162430913231778
chroma_01_mean,0.005077544330133559
prosody_f0_min,0.005028283523188181
chroma_05_mean,0.005026863005930809
prosody_jitter_ppq5,0.005000390339940924
chroma_03_mean,0.004914243845891461
mfcc_d1_17_std,0.004890587585442994
mfcc_d2_14_std,0.004858699408152493
chroma_06_mean,0.004831507272130811
chroma_04_mean,0.004760561708062354
chroma_02_std,0.004748774581270803
mfcc_13_kurt,0.004677615842344943
prosody_hnr_mean,0.004650833648915481
spectral_contrast_2_std,0.0046132659536829625
prosody_f0_slope_abs_mean,0.004470280364755661
spectral_contrast_0_std,0.004433400801030088
chroma_01_std,0.0044077661251158634
mfcc_11_std,0.004389099244889338
mfcc_04_std,0.004388252206707808
chroma_04_std,0.004367512762554363
chroma_09_std,0.004208205455392655
chroma_06_std,0.004188739932364962
mfcc_d1_03_std,0.004120748221362412
mfcc_d2_07_std,0.004108198731066068
prosody_f0_max,0.004061836947149514
mfcc_d1_15_mean,0.0040599922193578965
chroma_00_mean,0.004001269212648756
spectral_band_0_500_mean,0.003967727304321034
mfcc_17_kurt,0.00391177250537447
chroma_05_std,0.003878182295815232
mfcc_02_iqr,0.003852946781892854
spectral_zcr_kurt,0.0037975105777251915
chroma_03_std,0.0037910735313570624
spectral_contrast_1_mean,0.0037019745856040243
mfcc_00_iqr,0.0035879494339396225
prosody_intensity_skew,0.003582594659806914
mfcc_11_iqr,0.003555660832729083
mfcc_00_std,0.003496056974276568
prosody_f1_median,0.00338987469077606
spectral_contrast_2_mean,0.003304462984145721
chroma_07_std,0.0032722813137411513
prosody_shimmer_dda,0.003199187159764043
prosody_shimmer_apq3,0.0031991871597640375
mfcc_05_skew,0.00304813969101953
chroma_09_mean,0.003035266502098374
prosody_hnr_max,0.0030035415175247784
chroma_00_std,0.0029786917635507134
spectral_zcr_skew,0.002971486407498895
prosody_f2_std,0.002890468595658452
prosody_hnr_min,0.0028420159111892714
mfcc_d2_16_std,0.00274163465963705
spectral_flux_skew,0.002691565989824848
prosody_voiced_fraction,0.002671608431716614
prosody_pause_fraction,0.0026716084317166097
mfcc_10_skew,0.0026653368666775114
spectral_band_1000_2000_mean,0.002658687881270923
mfcc_d2_11_std,0.0026029447271793617
spectral_rolloff85_iqr,0.0025434431269899323
prosody_f0_skew,0.0025003281757470927
spectral_bandwidth_skew,0.0024692146068425566
mfcc_19_std,0.0024635283043064615
prosody_hnr_std,0.0023559224604336147
mfcc_03_iqr,0.0022384523381229655
mfcc_04_kurt,0.002186717853004526
prosody_shimmer_local,0.0020748117491908484
spectral_flux_kurt,0.0018753982623237668
mfcc_14_std,0.0018193189704317485
prosody_mean_voiced_seg_s,0.0017788950922002563
mfcc_05_kurt,0.0016999176535842314
mfcc_d1_04_std,0.001679714514488642
prosody_intensity_kurt,0.0016390557103684532
chroma_08_std,0.0015011704574165946
spectral_rms_skew,0.0014782579852500649
mfcc_17_std,0.001426193454391507
spectral_band_1000_2000_std,0.0012852236539050547
mfcc_15_kurt,0.001198787197538481
mfcc_03_std,0.0010969958652826176
spectral_rms_kurt,0.001070939783554702
spectral_rolloff95_iqr,0.0010440409666477772
prosody_f0_iqr,0.0009972031680118433
prosody_shimmer_apq5,0.0009890307726280179
mfcc_d1_19_std,0.0009056695680068088
mfcc_02_kurt,0.000872035633151417
spectral_band_500_1000_mean,0.0008267723183360184
spectral_zcr_max,0.000795533511835821
spectral_centroid_iqr,0.0007528622204119951
mfcc_d1_04_mean,0.0007102029092424827
prosody_f0_mean,0.0006320119861152282
prosody_f2_bw_median,0.0005931188259528453
mfcc_03_kurt,0.0005381266090274703
spectral_band_500_1000_std,0.0005030303803140743
prosody_f0_median,0.000488740906010201
prosody_intensity_iqr,0.0003951680179847082
spectral_rolloff85_median,0.00032844897080732175
mfcc_16_std,0.00024489247794566
duration_s,0.00023876435792151532
prosody_shimmer_localdb,0.00019503512871484662
spectral_contrast_0_mean,0.00015904449626060228
mfcc_06_kurt,0.00010726039203690545
spectral_rolloff95_median,9.992221680159067e-05
prosody_intensity_std,1.6203108114236195e-05
