,shift_sd
mfcc_02_mean,0.025694098228184026
mfcc_d1_11_std,0.025530971285285756
mfcc_07_skew,0.02483509829485137
spectral_band_1000_2000_mean,0.024824111690176006
mfcc_08_median,0.024679354847113096
spectral_hf_ratio_6000_mean,0.02428512841538676
spectral_band_6000_8000_mean,0.02416136086082391
chroma_06_std,0.02406900647136674
chroma_00_std,0.023977831493373507
spectral_rolloff85_median,0.023911085074773023
mfcc_d2_04_std,0.02379565583092834
mfcc_02_std,0.023356941259883954
mfcc_d2_02_std,0.02334202334442838
mfcc_d2_03_std,0.023190345784190075
spectral_slope_min,0.023185842445554307
chroma_07_std,0.02307182569310452
mfcc_12_mean,0.022712028484169262
prosody_voiced_rate_per_s,0.022518061782798904
mfcc_16_mean,0.02203544669545463
mfcc_12_kurt,0.021718148241138616
mfcc_09_std,0.02131412900219775
mfcc_d1_13_std,0.021017376459815284
prosody_hnr_min,0.02067705437068934
mfcc_06_std,0.02057434470694617
mfcc_10_skew,0.020155783805716487
mfcc_12_iqr,0.019917513905303337
spectral_contrast_1_mean,0.01978278485866658
mfcc_15_skew,0.01970744662256868
mfcc_14_iqr,0.01950974771432108
mfcc_11_median,0.019504272767075455
mfcc_19_median,0.019331944868376093
spectral_contrast_3_std,0.01932192467237481
chroma_02_mean,0.019295188888847563
chroma_03_mean,0.01919897121640793
spectral_centroid_median,0.019142847887484864
peak_amplitude,0.01900814299183147
mfcc_14_mean,0.018040043339279534
chroma_04_mean,0.018034289544941184
spectral_rolloff95_median,0.01791938421308526
mfcc_d1_19_std,0.017579336261186972
prosody_f0_kurt,0.017485753447933888
mfcc_18_kurt,0.017397822454935142
mfcc_11_skew,0.017396023721330905
spectral_contrast_2_std,0.01738990502931626
chroma_08_std,0.017274053703228626
mfcc_08_std,0.01695020725809762
mfcc_07_std,0.015975903547001413
chroma_11_std,0.015697332321892816
chroma_10_std,0.015640237845291775
mfcc_17_skew,0.015613346946659792
mfcc_15_median,0.015417019013452741
mfcc_19_skew,0.015359356779561874
mfcc_17_median,0.015332818623950858
spectral_zcr_median,0.015295215739905934
spectral_flux_max,0.015087767193993648
mfcc_01_max,0.015007315163771693
mfcc_11_std,0.01496869308953488
mfcc_05_median,0.014834232234135247
prosody_f2_bw_median,0.014372870449576853
mfcc_03_min,0.014314842187194875
mfcc_d1_17_std,0.014282136673741267
mfcc_19_std,0.014199627830352621
spectral_rms_std,0.014130161165780687
prosody_intensity_max,0.014003297139173886
spectral_contrast_1_std,0.013969261221968494
mfcc_10_mean,0.013917365083206196
prosody_f0_max,0.013792318665593389
prosody_shimmer_apq11,0.013780650305798142
mfcc_03_median,0.013771105174320647
prosody_shimmer_apq3,0.013694543471191178
prosody_shimmer_dda,0.013694543471191178
mfcc_d1_15_std,0.013667101718316907
mfcc_16_kurt,0.0135530584065456
chroma_05_mean,0.013543320293238795
mfcc_02_min,0.013380271232316745
prosody_hnr_max,0.013269227111540802
mfcc_02_max,0.013254249648422723
spectral_rms_skew,0.013168306308757425
mfcc_d2_18_mean,0.01296312345952578
mfcc_13_min,0.012891944924306025
mfcc_d1_12_std,0.012813997562088036
mfcc_01_median,0.012783366563383743
mfcc_00_iqr,0.012712531189533496
mfcc_d1_18_std,0.012707103080678126
prosody_f0_std,0.012664572983226634
mfcc_d2_09_mean,0.01258097126499057
spectral_rms_max,0.012522943973790309
spectral_contrast_6_std,0.012401792897870243
prosody_shimmer_localdb,0.012394958236821749
chroma_01_mean,0.012316918646680051
mfcc_13_std,0.012241426930493939
mfcc_10_std,0.011971698728153072
spectral_flux_std,0.011955953579240435
mfcc_05_iqr,0.011936481881691573
prosody_f2_std,0.011797208887761037
mfcc_07_median,0.011757662965459032
mfcc_19_min,0.011755845417232097
spectral_band_500_1000_std,0.011589370968799058
mfcc_08_skew,0.01131402853154075
mfcc_08_mean,0.011183657223213942
mfcc_07_max,0.010941036905836497
mfcc_14_kurt,0.010781950048688097
mfcc_18_max,0.010726973981695668
mfcc_07_min,0.010689376634380283
mfcc_04_max,0.010654909880897186
mfcc_12_std,0.010585548617697407
mfcc_09_skew,0.010431819866150388
mfcc_15_std,0.010319434084616433
mfcc_11_mean,0.010197171935737999
spectral_flatness_median,0.01015652387730158
mfcc_17_std,0.01002488157923332
mfcc_06_skew,0.010021542133173127
prosody_f3_bw_median,0.009919673440204104
mfcc_03_max,0.009795136550705526
chroma_09_std,0.009701045677099262
mfcc_d1_14_std,0.009684359825466103
mfcc_05_kurt,0.00955765418404969
mfcc_05_skew,0.00950846143997789
prosody_hnr_mean,0.009460527140556617
prosody_f2_mean,0.009381240568018883
prosody_hnr_std,0.009330169331260628
mfcc_06_min,0.009106341931599688
prosody_shimmer_local,0.009011004236680737
spectral_rolloff85_kurt,0.009004150543062151
mfcc_04_kurt,0.00863984645558136
mfcc_d1_05_std,0.008444843645549285
mfcc_04_iqr,0.008358160445512996
prosody_hnr_median,0.008347686892467114
mfcc_15_min,0.008313544956464147
mfcc_17_min,0.008264115395265939
prosody_f4_median,0.008260687573028745
mfcc_09_median,0.00815071759485273
spectral_entropy_median,0.008017686820535849
prosody_f1_median,0.007974421284714974
spectral_band_500_1000_mean,0.007883328726698315
spectral_flatness_min,0.007702774707698061
spectral_slope_kurt,0.007633844264996012
mfcc_08_max,0.0075938390199758975
mfcc_14_std,0.0074956939826104395
mfcc_18_min,0.007386741582293719
mfcc_16_iqr,0.00736457795084365
mfcc_18_iqr,0.00727439881693419
mfcc_05_min,0.0072538784539441245
mfcc_10_max,0.007206270342606873
mfcc_16_min,0.007062856728171736
prosody_f4_mean,0.006961773755561019
mfcc_d1_16_std,0.00693652207092829
chroma_06_mean,0.006882125911608191
mfcc_05_max,0.006857684550353237
prosody_f5_median,0.00671948202447293
prosody_f1_bw_median,0.006547248981521603
mfcc_14_min,0.006529661931608447
mfcc_13_mean,0.006528119461422097
prosody_f0_iqr,0.006527926500354768
prosody_f2_median,0.006356435259992691
mfcc_04_std,0.006120792257478154
mfcc_13_skew,0.005854063607137885
prosody_jitter_local,0.005694922654802494
spectral_rms_kurt,0.005549695467245203
mfcc_16_max,0.005514354461714211
prosody_intensity_iqr,0.005395642437297517
mfcc_18_std,0.0053381124692297634
prosody_n_voiced_segments,0.005252372767722776
mfcc_16_std,0.005220691517123267
mfcc_04_min,0.005065439070967957
prosody_f5_mean,0.0050259075631727415
prosody_mean_voiced_seg_s,0.004879468328161874
mfcc_08_min,0.0047220870982920184
mfcc_04_mean,0.0043711517655438785
chroma_07_mean,0.004357961024403785
mfcc_15_max,0.004323951047565873
prosody_f3_mean,0.004279545790621833
prosody_f1_std,0.004055832662835992
mfcc_09_max,0.004034480423446567
prosody_f0_mean,0.00392064714378905
chroma_00_mean,0.003898046129713592
mfcc_06_max,0.0037602010853209477
mfcc_05_std,0.0037520745808339493
spectral_contrast_0_mean,0.0037319195799504295
mfcc_09_min,0.0036988795326803187
chroma_09_mean,0.003659211630345331
mfcc_07_mean,0.003482857539511723
mfcc_09_mean,0.00330038627503838
prosody_f0_min,0.003196291740432218
spectral_slope_skew,0.0031821278052698646
mfcc_10_min,0.0031688973331138997
prosody_f0_median,0.003006240862679261
prosody_f0_skew,0.002681889614359798
mfcc_06_mean,0.0026792373775172433
prosody_jitter_rap,0.002662183746832791
prosody_jitter_ddp,0.0026621837468327894
prosody_f3_median,0.0021589138182298777
mfcc_13_median,0.0019976708549636216
spectral_contrast_0_std,0.0019852827980647333
prosody_f5_std,0.0019193008397843097
mfcc_11_max,0.0017183599967096116
prosody_jitter_ppq5,0.0016318250110757733
mfcc_14_max,0.0015207673605028389
mfcc_06_median,0.001406735434487611
mfcc_03_skew,0.001212245412241959
mfcc_19_mean,0.0011499919183210233
mfcc_17_mean,0.0009862016760312138
prosody_f4_std,0.0009694640259107181
mfcc_19_max,0.0009038596640374904
mfcc_12_max,0.0009003604730896655
chroma_11_mean,0.000822366131545978
spectral_flux_kurt,0.0007910863887594072
mfcc_11_min,0.0006538020683978537
chroma_08_mean,0.0005633680880717116
mfcc_05_mean,0.0005622923338682878
mfcc_17_max,0.0005317750279201022
chroma_10_mean,0.000493618974926698
mfcc_12_min,0.00044214368859594045
prosody_f1_mean,0.0003386390273631981
mfcc_13_max,0.0001910515802586097
prosody_f0_slope_abs_mean,0.00013592953930648943
mfcc_15_mean,0.0001149145599000027
prosody_f3_std,7.694791679637019e-05
prosody_shimmer_apq5,3.671892732783136e-05
