model,condition,n_neutralised,uar_compressed,uar_clean_control,recovery,gap_to_clean
random_forest,mp4_aac64,3,0.5186507936507937,0.5354166666666665,-0.0036706349206349076,-0.016765873015872845
random_forest,mp4_aac64,5,0.5186507936507936,0.5305555555555556,-0.0036706349206350186,-0.011904761904761973
random_forest,mp4_aac64,10,0.5238095238095238,0.5340277777777778,0.0014880952380952328,-0.010218253968253932
random_forest,mp4_aac64,20,0.5196428571428572,0.5311507936507937,-0.002678571428571419,-0.011507936507936467
random_forest,mp4_aac64,40,0.5109126984126985,0.5191468253968254,-0.011408730158730118,-0.008234126984126955
random_forest,mp4_aac64,80,0.4910714285714286,0.48759920634920634,-0.03125,0.0034722222222222654
xgboost,mp4_aac64,0,0.5601190476190476,0.5821428571428572,0.0,-0.022023809523809557
xgboost,mp4_aac64,1,0.5558531746031746,0.5828373015873015,-0.004265873015873001,-0.026984126984126888
xgboost,mp4_aac64,2,0.5543650793650793,0.5816468253968254,-0.0057539682539683445,-0.027281746031746157
xgboost,mp4_aac64,3,0.5477182539682539,0.5800595238095239,-0.012400793650793718,-0.03234126984126995
xgboost,mp4_aac64,5,0.5393849206349207,0.5801587301587302,-0.02073412698412691,-0.04077380952380949
xgboost,mp4_aac64,10,0.5499007936507937,0.5821428571428572,-0.010218253968253932,-0.03224206349206349
xgboost,mp4_aac64,20,0.5462301587301587,0.5757936507936509,-0.01388888888888895,-0.02956349206349218
xgboost,mp4_aac64,40,0.5268849206349207,0.5337301587301587,-0.03323412698412698,-0.006845238095238071
xgboost,mp4_aac64,80,0.47668650793650796,0.4912698412698413,-0.08343253968253966,-0.014583333333333337
decision_tree,mp4_aac64,0,0.3671626984126984,0.3904761904761905,0.0,-0.02331349206349209
decision_tree,mp4_aac64,1,0.3671626984126984,0.39107142857142857,0.0,-0.023908730158730185
decision_tree,mp4_aac64,2,0.3671626984126984,0.39107142857142857,0.0,-0.023908730158730185
decision_tree,mp4_aac64,3,0.3671626984126984,0.39107142857142857,0.0,-0.023908730158730185
decision_tree,mp4_aac64,5,0.3671626984126984,0.39107142857142857,0.0,-0.023908730158730185
decision_tree,mp4_aac64,10,0.36726190476190473,0.3949404761904762,9.920634920634885e-05,-0.02767857142857144
decision_tree,mp4_aac64,20,0.3678571428571428,0.39305555555555555,0.000694444444444442,-0.02519841269841272
decision_tree,mp4_aac64,40,0.3185515873015873,0.3138888888888889,-0.048611111111111105,0.004662698412698396
decision_tree,mp4_aac64,80,0.3148809523809524,0.3104166666666666,-0.05228174603174601,0.004464285714285754
logistic_regression,mp4_aac64,0,0.47222222222222227,0.5668650793650793,0.0,-0.09464285714285708
logistic_regression,mp4_aac64,1,0.4804563492063492,0.5641865079365079,0.008234126984126955,-0.08373015873015871
logistic_regression,mp4_aac64,2,0.4878968253968254,0.5678571428571428,0.01567460317460312,-0.07996031746031745
logistic_regression,mp4_aac64,3,0.483829365079365,0.569047619047619,0.01160714285714276,-0.085218253968254
logistic_regression,mp4_aac64,5,0.452876984126984,0.5631944444444444,-0.01934523809523825,-0.11031746031746043
