feature,importance,std,family
mfcc_18_median,7.936507936512349e-05,0.0024157509928927996,mfcc
prosody_jitter_rap,3.968253968253954e-05,0.0009691805350650611,prosody
mfcc_07_std,3.968253968253954e-05,0.003178692802311795,mfcc
prosody_jitter_ddp,3.968253968253954e-05,0.0009691805350650611,prosody
prosody_f0_max,3.968253968253954e-05,0.0013421852797847384,prosody
mfcc_10_min,1.984126984131418e-05,0.0012925791646747557,mfcc
spectral_rolloff85_min,1.9841269841291976e-05,0.00248087291304548,spectral
spectral_rolloff95_skew,1.9841269841291976e-05,0.0014666443343314673,spectral
mfcc_09_iqr,2.2204460492503132e-17,0.002807381929495856,mfcc
mfcc_16_mean,0.0,0.0008806484532211138,mfcc
mfcc_d1_12_std,-3.968253968253954e-05,0.0007544902119774395,mfcc
mfcc_15_skew,-5.952380952378711e-05,0.0014642265656742092,mfcc
mfcc_17_skew,-7.936507936505688e-05,0.0022310623487096118,mfcc
prosody_f5_std,-7.936507936507908e-05,0.0021271840109822306,prosody
spectral_rolloff95_std,-7.936507936507908e-05,0.0011195822206083994,spectral
spectral_contrast_6_std,-7.936507936507908e-05,0.0030008239819124174,spectral
prosody_shimmer_local,-9.920634920634885e-05,0.0009820927516479793,prosody
mfcc_16_iqr,-9.920634920634885e-05,0.0011569348997708887,mfcc
mfcc_d1_18_std,-9.920634920634885e-05,0.002107288578944715,mfcc
mfcc_d1_15_std,-0.0001388888888888662,0.0019222494198067985,mfcc
spectral_rms_skew,-0.0001388888888888884,0.0016889571384944716,spectral
mfcc_13_iqr,-0.00015873015873015816,0.001470932777210363,mfcc
mfcc_d1_05_mean,-0.00015873015873015816,0.0012837163587001393,mfcc
mfcc_12_iqr,-0.00015873015873015816,0.0021965638893806346,mfcc
mfcc_d1_17_mean,-0.00017857142857140572,0.0017460317460317623,mfcc
mfcc_d2_07_mean,-0.00017857142857142795,0.0032075424072459174,mfcc
mfcc_d1_14_std,-0.0001984126984126755,0.0015279066117601923,mfcc
mfcc_11_kurt,-0.0001984126984126977,0.0012295185226055248,mfcc
prosody_f4_mean,-0.00021825396825392307,0.0025605233682540144,prosody
mfcc_16_max,-0.00021825396825394527,0.0021225522413200392,mfcc
mfcc_18_std,-0.00021825396825394527,0.0018047922684550823,mfcc
mfcc_05_median,-0.00021825396825396747,0.0010892839072468854,mfcc
mfcc_04_kurt,-0.00021825396825396747,0.0009101067413634662,mfcc
chroma_07_std,-0.00023809523809523725,0.00087301587301587,chroma
mfcc_17_iqr,-0.00023809523809523725,0.0022723235400349774,mfcc
spectral_zcr_mean,-0.00025793650793650704,0.0009691805350650611,spectral
spectral_entropy_mean,-0.00025793650793650704,0.0024498947175305478,spectral
mfcc_08_mean,-0.00025793650793650704,0.001654814243015315,mfcc
spectral_entropy_kurt,-0.00025793650793650704,0.002889341278027227,spectral
mfcc_d2_08_mean,-0.0002777777777777546,0.0016148404721726534,mfcc
chroma_01_mean,-0.0002777777777777546,0.002051821392189706,chroma
mfcc_08_kurt,-0.0002777777777777768,0.0021076621785538815,mfcc
mfcc_d1_09_std,-0.0002777777777777768,0.0010450154033542576,mfcc
prosody_f2_median,-0.00029761904761904656,0.0017835083376384249,prosody
spectral_flatness_min,-0.0003174603174603163,0.0012648712262308865,spectral
mfcc_18_mean,-0.0003373015873015639,0.0018566170738555014,mfcc
mfcc_06_skew,-0.0003373015873015861,0.00023974297566655813,mfcc
mfcc_00_max,-0.00035714285714283367,0.0020220580656503183,mfcc
mfcc_08_std,-0.00035714285714283367,0.0018912799991734294,mfcc
spectral_rolloff95_median,-0.0003571428571428559,0.0016392779814075218,spectral
mfcc_16_std,-0.00037698412698412566,0.0004753630377266229,mfcc
spectral_contrast_2_mean,-0.0003968253968253954,0.003221992524458169,spectral
mfcc_10_skew,-0.0003968253968253954,0.0021906415281516627,mfcc
mfcc_19_mean,-0.000416666666666643,0.0015514299843115119,mfcc
mfcc_13_skew,-0.00045634920634920475,0.0013640061303410438,mfcc
spectral_centroid_median,-0.0004761904761904301,0.0010240863413145552,spectral
mfcc_19_kurt,-0.0004761904761904745,0.0014879629570835403,mfcc
mfcc_02_std,-0.0004960317460316998,0.002376815188633146,mfcc
spectral_zcr_std,-0.0005158730158729696,0.0006740193552168054,spectral
mfcc_04_mean,-0.0005158730158730141,0.001611179527830295,mfcc
spectral_rms_kurt,-0.0005357142857142616,0.001769770088966479,spectral
prosody_f1_median,-0.0005357142857142838,0.0020975516327622957,prosody
spectral_rms_iqr,-0.0005357142857142838,0.0015705966212034312,spectral
mfcc_15_max,-0.0005357142857142838,0.0019517194646599832,mfcc
mfcc_04_std,-0.0005555555555555536,0.00277181900557147,mfcc
mfcc_15_iqr,-0.000575396825396779,0.001980552335471091,mfcc
chroma_09_std,-0.0005753968253968455,0.001581586935188885,chroma
mfcc_d1_11_mean,-0.0005753968253968678,0.0030599329601043025,mfcc
spectral_flux_max,-0.0005952380952380709,0.0018958538389827297,spectral
spectral_hf_ratio_6000_mean,-0.0005952380952380931,0.0006367780371381411,spectral
mfcc_17_std,-0.0006150793650793407,0.001932258543482489,mfcc
mfcc_09_median,-0.0006349206349206104,0.0014987712276207535,mfcc
spectral_entropy_iqr,-0.0006349206349206104,0.0024770615582207383,spectral
mfcc_14_skew,-0.0006349206349206104,0.0024683050063625273,mfcc
mfcc_13_mean,-0.0006349206349206326,0.0018745537807828001,mfcc
mfcc_d2_00_mean,-0.0006349206349206326,0.0015693428518480253,mfcc
mfcc_14_median,-0.0006349206349206326,0.0009991808184138197,mfcc
mfcc_d2_11_std,-0.000654761904761858,0.0017830668205286535,mfcc
mfcc_d2_18_std,-0.0006944444444443754,0.002011712992958185,mfcc
chroma_08_std,-0.0006944444444444198,0.003103747967978006,chroma
mfcc_13_std,-0.0007142857142856673,0.0013301052192137984,mfcc
spectral_band_6000_8000_mean,-0.0007142857142857118,0.00042276340779092146,spectral
mfcc_d2_05_std,-0.0007341269841269372,0.0021585988522157657,mfcc
spectral_flatness_median,-0.0007539682539682291,0.0016332631450203488,spectral
spectral_centroid_mean,-0.0007539682539682291,0.001037833081795428,spectral
prosody_f0_min,-0.0007738095238094767,0.0017141754814647052,prosody
prosody_f0_skew,-0.0007936507936507908,0.00451928205635171,prosody
mfcc_d1_02_std,-0.0007936507936507908,0.003050010429169012,mfcc
mfcc_d2_02_mean,-0.0007936507936507908,0.0012230980164620942,mfcc
mfcc_15_mean,-0.0008134920634920606,0.002104858565139015,mfcc
mfcc_d1_07_mean,-0.0008134920634920606,0.0022026490613298202,mfcc
spectral_hf_ratio_4000_std,-0.0008531746031746002,0.0013968028497458715,spectral
mfcc_09_skew,-0.0008531746031746002,0.001584322601402941,mfcc
mfcc_d1_19_std,-0.0008730158730158699,0.0016887240342026298,mfcc
mfcc_11_median,-0.0008928571428571175,0.0014526194617240783,mfcc
mfcc_09_kurt,-0.0008928571428571397,0.0016457493137561625,mfcc
chroma_02_mean,-0.0009126984126984095,0.0017449040369778234,chroma
mfcc_d2_10_std,-0.0009722222222222187,0.0014340723015549672,mfcc
mfcc_05_std,-0.0009722222222222187,0.0019765729214940046,mfcc
prosody_f1_std,-0.0009920634920634885,0.0025740176560047115,prosody
prosody_intensity_kurt,-0.001011904761904736,0.00165932813706786,prosody
mfcc_d1_02_mean,-0.0010119047619047584,0.0011473676424445167,mfcc
mfcc_d2_02_std,-0.0010515873015872535,0.002864023900915299,mfcc
mfcc_14_std,-0.0010515873015872978,0.0014384578539993489,mfcc
mfcc_d1_03_mean,-0.0010714285714285676,0.0016593281370678571,mfcc
spectral_zcr_median,-0.0010912698412698374,0.0011821800880766808,spectral
mfcc_14_mean,-0.0010912698412698374,0.0016070203755013106,mfcc
chroma_10_std,-0.0011309523809523326,0.00184385081833158,chroma
spectral_flatness_kurt,-0.0011309523809523547,0.0020024943503238494,spectral
mfcc_13_max,-0.001130952380952377,0.0014315995244085222,mfcc
mfcc_01_max,-0.0011507936507936245,0.002503933665144855,mfcc
chroma_03_std,-0.0011904761904761418,0.001423878977619763,chroma
spectral_centroid_iqr,-0.0011904761904761641,0.0008983517002120518,spectral
mfcc_d1_06_std,-0.001210317460317456,0.0023056887375133175,mfcc
spectral_rolloff85_max,-0.001210317460317456,0.0010317460317460282,spectral
spectral_centroid_skew,-0.0012896825396824906,0.003568671775516878,spectral
prosody_f3_median,-0.0013293650793650524,0.0018703488544896307,prosody
mfcc_04_iqr,-0.0013888888888888618,0.001610690773222399,mfcc
