feature,importance,kind,family
mfcc_00_kurt,0.27417587267585913,mean |coefficient|,mfcc
mfcc_09_min,0.27415561024709717,mean |coefficient|,mfcc
mfcc_12_max,0.27041372917257306,mean |coefficient|,mfcc
mfcc_06_iqr,0.26990467634531506,mean |coefficient|,mfcc
mfcc_01_median,0.2667930869619368,mean |coefficient|,mfcc
chroma_01_std,0.26426475964885937,mean |coefficient|,chroma
spectral_band_500_1000_mean,0.26311092351475923,mean |coefficient|,spectral
mfcc_d2_03_std,0.26271366891867026,mean |coefficient|,mfcc
mfcc_15_median,0.261791339190885,mean |coefficient|,mfcc
mfcc_12_median,0.26013981492881416,mean |coefficient|,mfcc
mfcc_03_mean,0.25989793590506344,mean |coefficient|,mfcc
spectral_hf_ratio_6000_std,0.2598433096589379,mean |coefficient|,spectral
mfcc_01_min,0.2596114840955122,mean |coefficient|,mfcc
prosody_f3_median,0.25897872806466266,mean |coefficient|,prosody
spectral_rolloff85_median,0.25355512074086417,mean |coefficient|,spectral
chroma_05_mean,0.2532489586887214,mean |coefficient|,chroma
mfcc_03_median,0.25136302001807537,mean |coefficient|,mfcc
spectral_band_6000_8000_std,0.25096054792405903,mean |coefficient|,spectral
prosody_shimmer_local,0.25062287170950287,mean |coefficient|,prosody
mfcc_08_median,0.2500957049164614,mean |coefficient|,mfcc
mfcc_11_std,0.2500824776461599,mean |coefficient|,mfcc
mfcc_00_min,0.24868363937427615,mean |coefficient|,mfcc
mfcc_17_median,0.2478464938892798,mean |coefficient|,mfcc
mfcc_02_min,0.2474183379539021,mean |coefficient|,mfcc
mfcc_16_max,0.24673246244034877,mean |coefficient|,mfcc
prosody_f0_skew,0.24551844968351363,mean |coefficient|,prosody
mfcc_14_median,0.24526023795904972,mean |coefficient|,mfcc
prosody_f5_mean,0.24517088328326786,mean |coefficient|,prosody
prosody_jitter_ppq5,0.2444336804250767,mean |coefficient|,prosody
spectral_rolloff95_skew,0.24348761690476117,mean |coefficient|,spectral
spectral_contrast_4_mean,0.24194735835011064,mean |coefficient|,spectral
spectral_entropy_skew,0.2414994205632323,mean |coefficient|,spectral
prosody_f0_min,0.2402142097065099,mean |coefficient|,prosody
chroma_00_mean,0.23999720044110928,mean |coefficient|,chroma
mfcc_19_min,0.2399034847802383,mean |coefficient|,mfcc
spectral_band_5000_6000_std,0.23735944522494176,mean |coefficient|,spectral
spectral_contrast_1_std,0.23560234607668765,mean |coefficient|,spectral
mfcc_d2_12_std,0.23467178681805542,mean |coefficient|,mfcc
mfcc_19_std,0.23438061110973138,mean |coefficient|,mfcc
mfcc_13_mean,0.2341465161495505,mean |coefficient|,mfcc
mfcc_18_std,0.2338598531455098,mean |coefficient|,mfcc
mfcc_13_min,0.23125523025865488,mean |coefficient|,mfcc
mfcc_15_std,0.23062531952799778,mean |coefficient|,mfcc
spectral_zcr_mean,0.23039530308259637,mean |coefficient|,spectral
mfcc_09_std,0.23034115465139338,mean |coefficient|,mfcc
spectral_slope_mean,0.22906573412774356,mean |coefficient|,spectral
prosody_f4_mean,0.22898600108961328,mean |coefficient|,prosody
spectral_rms_max,0.2288781177567835,mean |coefficient|,spectral
mfcc_18_iqr,0.22864144246928378,mean |coefficient|,mfcc
spectral_flatness_std,0.2279103221835689,mean |coefficient|,spectral
spectral_bandwidth_kurt,0.22641516315089535,mean |coefficient|,spectral
mfcc_01_iqr,0.22636391850173543,mean |coefficient|,mfcc
spectral_rolloff85_kurt,0.2262303222033839,mean |coefficient|,spectral
spectral_entropy_iqr,0.2258622009517938,mean |coefficient|,spectral
mfcc_10_max,0.22366331758598704,mean |coefficient|,mfcc
spectral_flatness_kurt,0.22315520464251767,mean |coefficient|,spectral
mfcc_14_iqr,0.22258222458252297,mean |coefficient|,mfcc
mfcc_05_std,0.222220833490357,mean |coefficient|,mfcc
spectral_flux_mean,0.22084210569354099,mean |coefficient|,spectral
spectral_flux_kurt,0.22056446729101423,mean |coefficient|,spectral
prosody_f3_bw_median,0.21943790067406854,mean |coefficient|,prosody
spectral_flux_max,0.21886927540324722,mean |coefficient|,spectral
prosody_jitter_rap,0.2180622039417667,mean |coefficient|,prosody
prosody_jitter_ddp,0.21806220394176137,mean |coefficient|,prosody
mfcc_19_mean,0.21774812117905037,mean |coefficient|,mfcc
spectral_bandwidth_max,0.21772170349585818,mean |coefficient|,spectral
mfcc_d1_10_std,0.21513339162333434,mean |coefficient|,mfcc
spectral_rms_kurt,0.21493617095303577,mean |coefficient|,spectral
spectral_centroid_max,0.21338912936511997,mean |coefficient|,spectral
mfcc_06_std,0.21250474233157812,mean |coefficient|,mfcc
mfcc_d1_05_std,0.21228599708319826,mean |coefficient|,mfcc
mfcc_14_kurt,0.21223567743086724,mean |coefficient|,mfcc
chroma_01_mean,0.2112055442066957,mean |coefficient|,chroma
mfcc_04_iqr,0.20814308911866483,mean |coefficient|,mfcc
mfcc_d2_02_std,0.20513984720879586,mean |coefficient|,mfcc
prosody_f4_median,0.20490159762586913,mean |coefficient|,prosody
chroma_10_std,0.20449409113024852,mean |coefficient|,chroma
spectral_flatness_skew,0.20375108754010665,mean |coefficient|,spectral
chroma_08_std,0.20328279281317874,mean |coefficient|,chroma
spectral_band_5000_6000_mean,0.20318990187053157,mean |coefficient|,spectral
mfcc_08_iqr,0.2026160030064298,mean |coefficient|,mfcc
spectral_entropy_kurt,0.20241636310879071,mean |coefficient|,spectral
mfcc_13_max,0.20191623817179152,mean |coefficient|,mfcc
spectral_contrast_4_std,0.2000026048438419,mean |coefficient|,spectral
spectral_slope_std,0.19941298757222162,mean |coefficient|,spectral
mfcc_d2_19_std,0.19842957291689314,mean |coefficient|,mfcc
mfcc_01_max,0.1971530933996263,mean |coefficient|,mfcc
mfcc_01_kurt,0.1970672667153501,mean |coefficient|,mfcc
prosody_intensity_max,0.19681917094012413,mean |coefficient|,prosody
mfcc_15_max,0.19477289906845596,mean |coefficient|,mfcc
mfcc_05_min,0.1945874167513847,mean |coefficient|,mfcc
mfcc_05_median,0.19382170160350484,mean |coefficient|,mfcc
mfcc_d2_01_std,0.19363878735204063,mean |coefficient|,mfcc
spectral_rolloff85_skew,0.19294562862782305,mean |coefficient|,spectral
mfcc_07_std,0.19129829245965638,mean |coefficient|,mfcc
spectral_rolloff85_iqr,0.19100626136777177,mean |coefficient|,spectral
mfcc_10_mean,0.1905195536858213,mean |coefficient|,mfcc
prosody_f2_median,0.18966644244178185,mean |coefficient|,prosody
spectral_band_0_500_std,0.18896998016388203,mean |coefficient|,spectral
chroma_02_std,0.18776793847077478,mean |coefficient|,chroma
mfcc_02_kurt,0.18660117436302603,mean |coefficient|,mfcc
mfcc_04_skew,0.184778682028477,mean |coefficient|,mfcc
spectral_contrast_3_std,0.1846695567294362,mean |coefficient|,spectral
peak_amplitude,0.1845352793347511,mean |coefficient|,other
