,speaker_eta2,emotion_eta2,family
spectral_slope_skew,0.10248615443203522,0.008744245769517933,spectral
spectral_slope_kurt,0.08375452720215212,0.016561079964916896,spectral
spectral_band_0_500_mean,0.16879211698910765,0.35929000245816084,spectral
spectral_band_0_500_std,0.17641787069927906,0.3678565877527849,spectral
spectral_band_500_1000_mean,0.22164811578684446,0.24465607801431757,spectral
spectral_band_500_1000_std,0.2295625641718851,0.23519346198050575,spectral
spectral_band_1000_2000_mean,0.16999641659560194,0.2246373059832073,spectral
spectral_band_1000_2000_std,0.21110680751304334,0.2483714171635319,spectral
spectral_band_2000_3000_mean,0.22730684995445438,0.20675160602296805,spectral
spectral_band_2000_3000_std,0.20979763581253483,0.211442886183748,spectral
spectral_band_3000_4000_mean,0.11081238896047718,0.18811473439214063,spectral
spectral_band_3000_4000_std,0.10541186790862023,0.10745248375830693,spectral
spectral_band_4000_5000_mean,0.25493570659667275,0.022575304674361148,spectral
spectral_band_4000_5000_std,0.2986084412635935,0.016659636094407147,spectral
spectral_band_5000_6000_mean,0.13392153353956104,0.019816712337851275,spectral
spectral_band_5000_6000_std,0.18660617875461302,0.023292455333719396,spectral
spectral_band_6000_8000_mean,0.09264400041588776,0.024916857681823484,spectral
spectral_band_6000_8000_std,0.1419462186812026,0.03951508155096645,spectral
spectral_hf_ratio_4000_mean,0.11752369870306842,0.02800057274496076,spectral
spectral_hf_ratio_4000_std,0.16060334459613335,0.0365588371472055,spectral
spectral_hf_ratio_6000_mean,0.09289079551736672,0.02489505521198771,spectral
spectral_hf_ratio_6000_std,0.14231781253334852,0.03949083129769118,spectral
spectral_contrast_0_mean,0.8188586424459812,0.016603450961271894,spectral
spectral_contrast_0_std,0.46923427974867715,0.04232288104560243,spectral
spectral_contrast_1_mean,0.41731898036197823,0.13550922994779452,spectral
spectral_contrast_1_std,0.2045951234540187,0.1608158939925712,spectral
spectral_contrast_2_mean,0.24779560125173597,0.15498057145035513,spectral
spectral_contrast_2_std,0.23808348957707462,0.1618654284139583,spectral
spectral_contrast_3_mean,0.1794721724636246,0.1326274318144233,spectral
spectral_contrast_3_std,0.1390864648887322,0.12490405903958418,spectral
spectral_contrast_4_mean,0.3054493979781745,0.13896505557158537,spectral
spectral_contrast_4_std,0.22612131109729758,0.13699746575553823,spectral
spectral_contrast_5_mean,0.19827838112202179,0.26003363036044086,spectral
spectral_contrast_5_std,0.29644424026147526,0.16250386575156808,spectral
spectral_contrast_6_mean,0.19077493459769262,0.1512307719625417,spectral
spectral_contrast_6_std,0.1725538105518669,0.08434847859670945,spectral
mfcc_00_mean,0.17778493704452528,0.3170289392080213,mfcc
mfcc_00_std,0.1823051431608881,0.43800322515993767,mfcc
mfcc_00_min,0.1023987874269587,0.278188330332094,mfcc
mfcc_00_max,0.20780338280661245,0.062285678764260624,mfcc
mfcc_00_median,0.15569338624237594,0.13801910181291863,mfcc
mfcc_00_iqr,0.17330177233877625,0.4124913754247588,mfcc
mfcc_00_skew,0.09812999127155536,0.11619248863604785,mfcc
mfcc_00_kurt,0.08329384129644472,0.07977383691834898,mfcc
mfcc_01_mean,0.1947219594853559,0.07571581050216901,mfcc
mfcc_01_std,0.1707429093237058,0.05522199557896611,mfcc
mfcc_01_min,0.209733372539734,0.06638344731023414,mfcc
mfcc_01_max,0.3037813351192605,0.019237418153071343,mfcc
mfcc_01_median,0.23559166760829514,0.06652992496422075,mfcc
mfcc_01_iqr,0.13722710255553464,0.053127893746336086,mfcc
mfcc_01_skew,0.2601186921016527,0.009865666695721977,mfcc
mfcc_01_kurt,0.13718663386676339,0.02703889401562305,mfcc
mfcc_02_mean,0.2560764152962957,0.251981810754275,mfcc
mfcc_02_std,0.20097774047755773,0.3464932061783452,mfcc
mfcc_02_min,0.22766956202237798,0.29188836110870103,mfcc
mfcc_02_max,0.18246401119630024,0.014826820624115365,mfcc
mfcc_02_median,0.238101952819367,0.16987559671717437,mfcc
mfcc_02_iqr,0.1450875923336904,0.32545354480986116,mfcc
mfcc_02_skew,0.14891246336931607,0.02655123961369498,mfcc
mfcc_02_kurt,0.13219862169429625,0.10838484082686892,mfcc
mfcc_03_mean,0.21681275857442056,0.038335831589537524,mfcc
mfcc_03_std,0.13339568821490838,0.21823338536389308,mfcc
mfcc_03_min,0.1740662938144829,0.11487136478697006,mfcc
mfcc_03_max,0.12356730049184957,0.07141587617651321,mfcc
mfcc_03_median,0.3149321669615032,0.04029215257535336,mfcc
mfcc_03_iqr,0.14955479180823208,0.18555644115128792,mfcc
mfcc_03_skew,0.15283189810784759,0.026580185554260043,mfcc
mfcc_03_kurt,0.10846635585866578,0.06067696399643275,mfcc
mfcc_04_mean,0.2966853483820688,0.1938538055270133,mfcc
mfcc_04_std,0.131090920297424,0.23028073847005576,mfcc
mfcc_04_min,0.15461138028825938,0.21643207723956304,mfcc
mfcc_04_max,0.30900538653082144,0.0075005244696359046,mfcc
mfcc_04_median,0.37483461053118666,0.14124837947773877,mfcc
mfcc_04_iqr,0.14592395573578923,0.23287542882040901,mfcc
mfcc_04_skew,0.17552481683506613,0.006413686423086973,mfcc
mfcc_04_kurt,0.140104572485748,0.046722755787736055,mfcc
mfcc_05_mean,0.2890902289437671,0.15013343376540894,mfcc
mfcc_05_std,0.1798750462260294,0.21831198694066517,mfcc
mfcc_05_min,0.1762504645873412,0.17059972753659858,mfcc
mfcc_05_max,0.17803904706773147,0.005794914071168284,mfcc
mfcc_05_median,0.31767837400994453,0.1186973720847568,mfcc
mfcc_05_iqr,0.15654904896803737,0.18757068647250774,mfcc
mfcc_05_skew,0.1143161258827615,0.009358900488185407,mfcc
mfcc_05_kurt,0.07496215574530639,0.041680755887763966,mfcc
mfcc_06_mean,0.3756479750547387,0.03398398091285117,mfcc
mfcc_06_std,0.1515856022240954,0.18027409669027714,mfcc
mfcc_06_min,0.23139976512833457,0.07076500152995202,mfcc
mfcc_06_max,0.23797401474958454,0.0441189185978732,mfcc
mfcc_06_median,0.3625671201613522,0.025951347831846747,mfcc
mfcc_06_iqr,0.15772003764978385,0.14808021686513087,mfcc
mfcc_06_skew,0.23077137252665234,0.005657320897582493,mfcc
mfcc_06_kurt,0.07407791440114106,0.01413206663302589,mfcc
mfcc_07_mean,0.42540947502474,0.15141263097196295,mfcc
mfcc_07_std,0.26632236245099833,0.1813149527820613,mfcc
mfcc_07_min,0.26721068510210483,0.1363537614331867,mfcc
mfcc_07_max,0.2944830825535018,0.011606620883294986,mfcc
mfcc_07_median,0.39859918470884176,0.13063890077766682,mfcc
mfcc_07_iqr,0.23859922430622035,0.1824011332223919,mfcc
mfcc_07_skew,0.09739338488398255,0.0058374790049204785,mfcc
mfcc_07_kurt,0.07683240449068215,0.05040228969248374,mfcc
mfcc_08_mean,0.3199388125445846,0.03218380250201148,mfcc
mfcc_08_std,0.12955542878300627,0.15736559682737664,mfcc
mfcc_08_min,0.20351085706986796,0.08680313284609883,mfcc
mfcc_08_max,0.22393102555369207,0.014824042944422957,mfcc
mfcc_08_median,0.29274090330764047,0.026260262990710534,mfcc
mfcc_08_iqr,0.1197600618076328,0.12547892040679837,mfcc
mfcc_08_skew,0.2598278044470078,0.008092964224154484,mfcc
mfcc_08_kurt,0.04943367899148349,0.0023374426397863085,mfcc
mfcc_09_mean,0.3023114496534822,0.07088608619288896,mfcc
mfcc_09_std,0.11040412641750372,0.14530314987026446,mfcc
mfcc_09_min,0.16415208704608472,0.11199791872475041,mfcc
mfcc_09_max,0.17170737882815576,0.02046615280929566,mfcc
mfcc_09_median,0.32330726781190006,0.05911612884474333,mfcc
mfcc_09_iqr,0.09801589681519216,0.10952764080613085,mfcc
mfcc_09_skew,0.17864835393800954,0.025367874384754137,mfcc
mfcc_09_kurt,0.03886586350057625,0.00045222174223114346,mfcc
mfcc_10_mean,0.4002832427060218,0.06046372882723098,mfcc
mfcc_10_std,0.13954578528324377,0.14535528629303737,mfcc
mfcc_10_min,0.2144870942389889,0.11757317478934749,mfcc
mfcc_10_max,0.227101101034306,0.011391966325751327,mfcc
mfcc_10_median,0.3883676803978922,0.05101262191236269,mfcc
mfcc_10_iqr,0.14434005321760898,0.11925432984224657,mfcc
mfcc_10_skew,0.22313717986190493,0.022823932871529513,mfcc
mfcc_10_kurt,0.04763930741069323,0.002438810553372121,mfcc
mfcc_11_mean,0.46626852285805337,0.015640856296355626,mfcc
mfcc_11_std,0.1739293951101879,0.1335280145091573,mfcc
mfcc_11_min,0.29396166207386687,0.08287067865977063,mfcc
mfcc_11_max,0.17175096999175882,0.030860453577804203,mfcc
mfcc_11_median,0.48390325198030165,0.012791103230232867,mfcc
mfcc_11_iqr,0.16351484729337548,0.10244123924407235,mfcc
mfcc_11_skew,0.23815258499651898,0.010718459753881686,mfcc
mfcc_11_kurt,0.042912799784826,0.010823469023418138,mfcc
mfcc_12_mean,0.3729363645887948,0.03530878451947678,mfcc
mfcc_12_std,0.12557674548383385,0.1172454342089368,mfcc
mfcc_12_min,0.15352174931709842,0.12024276249380811,mfcc
mfcc_12_max,0.1905693164299791,0.018451695757583278,mfcc
mfcc_12_median,0.41923171551238614,0.026995551472896444,mfcc
mfcc_12_iqr,0.09937901379460022,0.09829876022487542,mfcc
mfcc_12_skew,0.18871978881556212,0.02507840556861487,mfcc
mfcc_12_kurt,0.04314949021763521,0.01438755809699995,mfcc
mfcc_13_mean,0.4223804976542633,0.017392572939914235,mfcc
mfcc_13_std,0.1257541650743778,0.1356588684815505,mfcc
mfcc_13_min,0.23753781840709123,0.10211078189045622,mfcc
mfcc_13_max,0.14336521324466944,0.036065012431914525,mfcc
mfcc_13_median,0.4600706708679898,0.0176044165061715,mfcc
mfcc_13_iqr,0.11447094501842202,0.09987191242689974,mfcc
mfcc_13_skew,0.1818366683514783,0.009538276636727258,mfcc
mfcc_13_kurt,0.0578056703767428,0.022823993527537542,mfcc
