feature,family,anova_F,anova_p,mutual_info
mfcc_d1_17_std,mfcc,275.3363565705741,5.681670780027896e-271,0.11092404426892966
spectral_contrast_2_mean,spectral,272.72285341679094,1.3972240364238196e-268,0.10606745191999423
spectral_centroid_mean,spectral,272.20039529123295,4.2036062650765303e-268,0.16695572890617694
chroma_06_std,chroma,271.101242297627,4.270216072159729e-267,0.09821555050526243
mfcc_14_std,mfcc,268.68377365334663,7.03143229082194e-265,0.12681718935876996
chroma_07_mean,chroma,268.0711035189768,2.5661561224903723e-264,0.09536628993244456
chroma_04_std,chroma,268.0537957246591,2.661760754951519e-264,0.09215469269981957
spectral_flux_iqr,spectral,267.03590991498794,2.2893180693554136e-263,0.10735800755528047
mfcc_d1_15_std,mfcc,266.74670268923984,4.2201642998360215e-263,0.11027803669461411
mfcc_17_std,mfcc,266.0793314450347,1.731582402175303e-262,0.1308141099055402
mfcc_07_mean,mfcc,265.3239848634491,8.563619332951601e-262,0.08163863785765368
spectral_contrast_6_mean,spectral,264.9485283866185,1.895993026938991e-261,0.09976686933375012
prosody_hnr_median,prosody,264.0853957561579,1.1793482837402406e-260,0.13292352379411332
mfcc_05_mean,mfcc,262.68643205754637,2.285909948480305e-259,0.07921458737572706
mfcc_16_std,mfcc,260.20624242369587,4.405385381187542e-257,0.12869537885112825
mfcc_d1_08_std,mfcc,259.9811954559312,7.103477061906396e-257,0.08723877024482807
spectral_rolloff95_iqr,spectral,259.81426218274,1.0125018845971085e-256,0.16463963176972163
mfcc_d1_16_std,mfcc,259.7780395016396,1.0934470333946608e-256,0.10229474162847163
mfcc_06_iqr,mfcc,258.469502455008,1.7615399126404857e-255,0.09307731599312907
mfcc_15_std,mfcc,256.96286895710415,4.333414961378542e-254,0.12026913208789658
mfcc_10_std,mfcc,252.90428554836294,2.4526916242875704e-250,0.1253733886342534
mfcc_09_std,mfcc,252.7981515601383,3.0753630666597333e-250,0.09171317393630929
spectral_rolloff95_skew,spectral,251.8002067306462,2.5824468643965155e-249,0.08490257580188931
prosody_f5_std,prosody,249.7858162159765,1.901184048693709e-247,0.09085168531608634
spectral_entropy_iqr,spectral,249.53100391017637,3.275992880935917e-247,0.11709952218044162
mfcc_d1_14_std,mfcc,249.33210383227095,5.0099241228200175e-247,0.11139659068263619
mfcc_d1_09_std,mfcc,247.73116612861773,1.5329409824862957e-245,0.08350472299501055
mfcc_04_median,mfcc,244.58334082171746,1.29029549499125e-242,0.08428686467220281
spectral_contrast_4_mean,spectral,239.99146488997508,2.4386101078847445e-238,0.09049216055884912
prosody_hnr_min,prosody,239.16956455298583,1.4248311442322972e-237,0.09552179608244815
mfcc_d1_07_std,mfcc,239.13576299060918,1.5321426851598894e-237,0.06406677562693774
mfcc_00_median,mfcc,238.09623255859708,1.4303593044042849e-236,0.10770653863289015
prosody_f0_max,prosody,237.0250492375397,1.431303947175425e-235,0.08738421165003984
spectral_zcr_iqr,spectral,236.08841552083507,1.0736785248713294e-234,0.16520257041674302
spectral_contrast_4_std,spectral,236.05403633819492,1.1561263260911951e-234,0.10009200639084215
mfcc_07_min,mfcc,234.7697867446685,1.8353752647182569e-233,0.0920786507498006
chroma_02_std,chroma,233.76915650848898,1.584460954346246e-232,0.07693369803904426
mfcc_13_std,mfcc,233.3855581738764,3.6216387921424775e-232,0.10479331054916674
spectral_contrast_1_mean,spectral,233.0877690229204,6.881307294921517e-232,0.07773476372103394
spectral_bandwidth_median,spectral,232.67634758281181,1.6706593949113728e-231,0.09759858315147873
spectral_zcr_mean,spectral,231.29191767509238,3.309818775907108e-230,0.11783523690624564
mfcc_d2_19_std,mfcc,231.2218493630712,3.850087169006016e-230,0.08135765658681393
mfcc_d1_13_std,mfcc,230.1115373173819,4.2303776026657106e-229,0.11403787898379036
mfcc_11_std,mfcc,229.15473425564446,3.3412105007424256e-228,0.10420231137753744
mfcc_d1_10_std,mfcc,228.80095296078687,7.176141542091157e-228,0.09120261324696566
prosody_f1_mean,prosody,227.49416264711027,1.209930864390739e-226,0.07291062420516248
mfcc_15_min,mfcc,227.4772179006112,1.2550904158675769e-226,0.0649429961135004
spectral_contrast_3_mean,spectral,227.3728710612167,1.5728259525901881e-226,0.07630139237758238
spectral_rolloff85_mean,spectral,225.90631197286064,3.7560848568685366e-225,0.11799036888109882
mfcc_d2_01_std,mfcc,225.26919704689146,1.4919758438219316e-224,0.08458679843343386
mfcc_07_median,mfcc,223.4515043635624,7.655766215457344e-223,0.06689914032777589
mfcc_d1_11_std,mfcc,221.37383498000972,6.934313037990184e-221,0.10098874443387551
mfcc_19_iqr,mfcc,214.3960839210188,2.695470582436404e-214,0.09836942254751158
prosody_mean_voiced_seg_s,prosody,214.20026019324268,4.129973494638752e-214,0.147049294719809
mfcc_08_iqr,mfcc,213.35924198842943,2.582617410565041e-213,0.08359475571789732
spectral_contrast_3_std,spectral,212.24225493267156,2.9512226927320627e-212,0.0721999778250888
mfcc_d2_08_std,mfcc,211.99475860462422,5.064159525292895e-212,0.0596597326176358
spectral_rolloff85_iqr,spectral,206.84554956028393,3.899627699636143e-207,0.19342596974702841
mfcc_d2_06_std,mfcc,206.0593488830818,2.1796719341037962e-206,0.07151427683306544
mfcc_18_iqr,mfcc,204.15339471893773,1.4177892428145e-204,0.10668833640663777
mfcc_12_min,mfcc,203.23900754160366,1.0524888942185097e-203,0.0758639301637789
spectral_entropy_mean,spectral,202.33021870702908,7.725888150409875e-203,0.057595243177873456
mfcc_10_iqr,mfcc,201.34210644900693,6.757094440911866e-202,0.09141373931423358
mfcc_05_median,mfcc,200.27512309540998,7.036401767306206e-201,0.06198404716899031
chroma_03_std,chroma,199.88548983150437,1.656164189673744e-200,0.06784420300189353
mfcc_14_min,mfcc,199.47934233197293,4.0429804298295135e-200,0.06833019511964844
mfcc_d1_12_std,mfcc,198.15108163506127,7.497812338916473e-199,0.10142770790253941
mfcc_10_min,mfcc,198.12556227541518,7.930675334676566e-199,0.06515801313687275
mfcc_12_std,mfcc,197.49992514901098,3.1406483502543836e-198,0.10891404421832673
mfcc_d2_09_std,mfcc,196.94476511179624,1.0655614993612358e-197,0.06511831371429899
mfcc_00_skew,mfcc,195.49305519610286,2.6047396127507927e-196,0.11358182061480981
prosody_jitter_local,prosody,194.90932176562225,9.42504527863576e-196,0.04752168855239125
chroma_00_mean,chroma,193.36104481509946,2.8615225978439594e-194,0.07561271020668281
mfcc_03_min,mfcc,192.98180246661616,6.60518277127001e-194,0.06609829593890337
mfcc_14_iqr,mfcc,192.34143633690113,2.7132635429967375e-193,0.09174657539168551
prosody_shimmer_local,prosody,191.9234215173051,6.825932793350247e-193,0.0739657424835598
mfcc_18_min,mfcc,191.90327475120665,7.136335682912319e-193,0.07458265922790774
chroma_06_mean,chroma,191.84722291795842,8.076242235692495e-193,0.07347919034322814
mfcc_17_min,mfcc,191.61902709113676,1.3365560715483697e-192,0.06394097154970169
mfcc_d2_07_std,mfcc,191.54214693416958,1.5838020343851091e-192,0.06370257900280141
mfcc_d2_17_std,mfcc,191.4949613811011,1.757699609601406e-192,0.08713525072203776
mfcc_d2_18_std,mfcc,189.47091715550073,1.5376593176537448e-190,0.06473294281988418
mfcc_d2_10_std,mfcc,188.6419218224071,9.613370166924008e-190,0.05749201526091907
mfcc_09_min,mfcc,187.54562478563918,1.0867928502287033e-188,0.047906037233239385
mfcc_19_max,mfcc,186.2705040300611,1.8283797061739244e-187,0.07203150691269089
mfcc_d2_14_std,mfcc,183.1122020098876,2.0063827761632092e-184,0.08087193275952043
mfcc_09_iqr,mfcc,182.90023289005651,3.211191126821826e-184,0.06856826248826042
prosody_jitter_ddp,prosody,181.14493933564768,1.5813392892439498e-182,0.06960441185850552
prosody_jitter_rap,prosody,181.14493933563716,1.5813392892818954e-182,0.06960889154313543
mfcc_02_kurt,mfcc,180.75989024123248,3.719627640765903e-182,0.07226492336099577
prosody_hnr_max,prosody,180.3632619649096,8.979078655323581e-182,0.06386082514199165
mfcc_d2_15_std,mfcc,179.99284236010845,2.045282690566673e-181,0.058907945478814394
spectral_band_3000_4000_std,spectral,179.01774464782056,1.7875833353130697e-180,0.08133927481994441
prosody_intensity_kurt,prosody,175.72208109264062,2.7439386965716754e-177,0.15116563479773149
mfcc_16_iqr,mfcc,175.5735889094547,3.8200958678146343e-177,0.07075996447194477
mfcc_17_iqr,mfcc,174.4287949635045,4.9016136845430885e-176,0.08793190725004996
mfcc_d2_16_std,mfcc,174.34187746774734,5.949949835705928e-176,0.06127877770282186
