condition,feature,family,mean_ref,mean_cond,smd,t,p,rel_change,abs_smd,significant
mp3_64,chroma_02_mean,chroma,0.48354419120041475,0.48393382065007823,0.006007695744244137,30.84702433178767,9.974992026860976e-197,0.0008057783688729821,0.006007695744244137,True
mp3_64,chroma_02_std,chroma,0.2664334135331439,0.2663310976965238,-0.004399116075153222,-12.143509706847283,1.2899629130394305e-33,-0.00038402028958503005,0.004399116075153222,True
mp3_64,chroma_03_mean,chroma,0.47883677601072466,0.4792286014004304,0.005343388765175417,30.564589692123185,2.214089389298838e-193,0.0008182859156518684,0.005343388765175417,True
mp3_64,chroma_03_std,chroma,0.28055548526465474,0.2804589025500576,-0.004365179552304161,-11.995832551867755,7.497991454103955e-33,-0.00034425530659650666,0.004365179552304161,True
mp3_64,chroma_04_mean,chroma,0.4773055953317377,0.4776965963248429,0.00530307068729487,30.27313278380531,5.933953993033484e-190,0.0008191837617856328,0.00530307068729487,True
mp3_64,chroma_04_std,chroma,0.2646631728207127,0.26457004084180685,-0.0038518208228373583,-10.80015238873883,5.4445030969161175e-27,-0.0003518886965394256,0.0038518208228373583,True
mp3_64,chroma_05_mean,chroma,0.5125718109311375,0.5129886274298281,0.005319035409828973,29.88774889077125,1.8490233459763803e-185,0.0008131865424543,0.005319035409828973,True
mp3_64,chroma_05_std,chroma,0.26707743524670946,0.26697797674197915,-0.00369154917839691,-10.9136493793223,1.6023614767436486e-27,-0.0003723957609463947,0.00369154917839691,True
mp3_64,chroma_06_mean,chroma,0.5594112655777281,0.5598666615899252,0.005211220101883114,29.15155337175243,5.310529103172811e-177,0.0008140629984037073,0.005211220101883114,True
mp3_64,chroma_06_std,chroma,0.2873756081483589,0.28725605429575257,-0.004136767242949979,-12.644608306401912,2.8244130968606874e-36,-0.000416019485357968,0.004136767242949979,True
mp3_64,chroma_07_mean,chroma,0.5711258549024091,0.5716074685344693,0.005966200794766023,30.283485702742617,4.4875512091537577e-190,0.0008432705820024991,0.005966200794766023,True
mp3_64,chroma_07_std,chroma,0.2691755963133359,0.26907994876132824,-0.002842257268308727,-8.940676886619201,4.812501248051187e-19,-0.0003553351541433907,0.002842257268308727,True
mp3_64,chroma_08_mean,chroma,0.6203552420219739,0.6209072358341436,0.006743586290953748,30.174765495963943,8.405867020473142e-189,0.000889802769088548,0.006743586290953748,True
mp3_64,chroma_08_std,chroma,0.2782784176810422,0.27828132063089034,7.088443747343806e-05,0.22846774676521758,0.8192889063932076,1.043181814927239e-05,7.088443747343806e-05,False
